County,State,B20004001,B20004002,B20004003,B20004004,B20004005,B20004006,B20004007,B20004008,B20004009,B20004010,B20004011,B20004012,B20004013,B20004014,B20004015,B20004016,B20004017,B20004018
Marinette,wi,31108,20320,26732,31534,43364,50991,39226,30821,36080,41216,51786,53125,21758,14469,17627,22056,37222,50521
Marquette,wi,29424,21250,27041,32376,37650,49792,35540,25761,31690,41627,49483,51750,24225,7216,21616,25788,30402,47125
Menominee,wi,25647,20781,22120,24028,45000,54667,24583,20227,25195,21250,66000,53409,26225,22000,16932,33750,38333,55781
Milwaukee,wi,33791,19185,27174,31911,45983,60318,38679,22509,31076,38435,52244,69949,30352,14818,24214,27720,42327,54449
Monroe,wi,31341,18986,26858,33579,43167,51859,35750,21433,31037,42028,47768,55250,27196,14209,22430,27399,38632,49780
Oconto,wi,33152,22067,30189,35059,45813,53992,38396,26268,36093,43576,47148,51696,27469,19671,22932,28247,44982,58011
Oneida,wi,29621,14800,25097,27500,40859,58791,33696,17460,31032,32905,50098,63409,24193,10039,19317,23606,35721,53090
Outagamie,wi,37321,21969,31552,35302,47532,61892,47083,26775,41394,46009,57992,72173,29438,15203,22487,28230,37071,55072
Ozaukee,wi,43370,21551,30149,36122,53968,77376,57706,26172,39277,47500,76785,102884,31318,11307,22349,29947,38076,59317
Pepin,wi,30308,26023,28146,28450,38182,57500,36535,33472,33718,37314,47500,61094,25405,11250,22361,24939,32143,52917
Pierce,wi,38124,24240,32163,37400,44212,63533,44335,27031,39989,44758,52888,70938,31790,16923,26112,29491,38359,60603
Polk,wi,31666,19406,26943,32512,43693,53512,37657,25703,32170,40750,51753,56630,26428,14574,21280,27937,35869,51218
Portage,wi,32375,17889,29727,30542,40058,58571,40107,21786,35940,37819,51214,72455,26557,12150,22571,25570,32469,48716
Price,wi,29975,20395,26914,28450,41031,55074,36318,20769,33530,37659,44250,56000,22317,17500,19000,21205,36731,52955
Racine,wi,36012,19985,30009,35985,49110,64415,43309,25423,34540,45498,64138,71799,29966,14780,24890,28231,41043,60039
Richland,wi,30000,17423,27864,30357,38839,46862,34601,23571,32259,35670,40380,51563,23675,8750,19451,25452,35221,46282
Rock,wi,33066,21807,28423,32398,46198,58829,41679,26162,36909,42100,54996,64521,26945,16132,22724,27283,37549,54921
Rusk,wi,25917,14440,24624,26732,32500,54015,29008,18693,27500,30571,31912,55000,23172,10147,21379,22764,34318,53796
St. Croix,wi,41554,23019,31860,39636,54419,60201,49524,26010,38271,49235,67282,75823,34316,18345,24658,32074,41300,54665
Sauk,wi,32470,21109,28837,33180,43954,53304,39764,26108,35968,40347,50049,62650,26275,13731,22067,27429,35667,49333
Sawyer,wi,25302,14973,22410,24654,34191,42303,30876,21719,32095,27847,39375,41500,20488,8977,14456,22199,32199,43523
Shawano,wi,29921,18627,26236,31260,39330,54646,35551,23438,32311,40034,47645,64018,24576,13300,20790,26025,33309,52457
Sheboygan,wi,35240,19597,30827,35437,46479,63406,42544,25560,37954,43172,58178,69778,27247,13189,22292,27394,35275,59682
Taylor,wi,29667,21719,28082,29947,36169,58882,34331,26563,32458,36277,44740,61477,23087,14000,21843,23992,30257,55469
Trempealeau,wi,31345,26343,27128,32085,40453,53693,36278,28059,33091,40240,46250,58241,26143,20100,21415,26875,36356,49853
Vernon,wi,30084,21648,25790,30866,42674,49283,33420,25536,31029,34579,48004,54336,26152,12333,18157,27473,37994,44573
Vilas,wi,25854,21250,21736,24525,35585,44038,30568,22833,26914,30727,41964,43548,22589,13077,18106,22354,31410,44762
Walworth,wi,34005,23639,28460,33983,43582,57129,41424,27344,36462,43495,53763,64375,26646,18921,22435,26038,36690,51838
Washburn,wi,27176,13313,24348,27686,40287,54615,32090,12367,30000,34911,48000,60046,21331,14107,15912,22351,34659,51458
Washington,wi,41555,20775,33729,39689,54543,67008,50827,26024,40680,52686,67643,79330,32224,14547,26784,29891,43260,58509
Waukesha,wi,45853,23372,32572,40516,57332,75519,55736,29929,41333,49735,75122,92229,35968,19319,26502,31618,44834,61048
Waupaca,wi,32492,20276,30351,32904,40278,53120,41338,27286,38355,46033,52875,49865,25474,11295,23454,24142,35379,54053
Waushara,wi,27889,21824,25179,29457,38861,54429,34353,26604,31885,36175,47679,66875,23443,12639,20181,25258,35862,51688
Winnebago,wi,34730,20864,30150,32908,46002,61172,43068,23926,37942,43254,55705,75460,27838,15625,23017,26430,36223,52332
Wood,wi,31642,20250,27128,31547,41430,66102,39124,23464,33676,42079,46717,79890,26060,13563,21438,24575,36998,59157
Albany,wy,33690,17552,28438,27043,37782,55672,39229,25250,36375,28574,40550,63835,29724,9485,23176,25931,34976,46635
Big Horn,wy,31684,18606,32292,29190,43163,61500,41908,24531,43378,41038,54083,71875,21800,9939,20134,21160,23295,57151
Campbell,wy,49629,26642,45892,48232,54482,70490,64235,35294,60881,65683,74167,77500,29266,14281,25199,29346,46818,58750
