County,State,B20004001,B20004002,B20004003,B20004004,B20004005,B20004006,B20004007,B20004008,B20004009,B20004010,B20004011,B20004012,B20004013,B20004014,B20004015,B20004016,B20004017,B20004018
Autauga,al,35881,17407,30169,35327,54917,63317,46227,26055,36440,48243,64639,79750,27799,15634,23728,27430,42158,49829
Baldwin,al,31439,16970,25414,31312,44940,54599,40662,20401,31553,42561,61454,70349,24694,11772,18670,24040,36010,51107
Barbour,al,25201,15643,20946,24201,42629,48500,31623,20526,29966,32212,61528,62788,19950,12878,16748,19479,32014,47833
Bibb,al,29016,23125,27869,23728,53304,53500,34723,30647,32694,40850,57212,55929,20049,13679,17175,18722,38193,50250
Blount,al,32035,23533,27982,33980,47493,54179,38544,27352,35917,45977,49385,71528,25441,12936,20208,28202,44316,53353
Bullock,al,26408,17158,30739,31550,31758,24250,31138,18255,34417,40536,46324,19407,21042,4608,17937,22525,26789,51964
Butler,al,26325,16154,22969,28018,41146,56339,32243,18281,30166,36875,51964,59397,21240,15272,19065,21215,37056,51471
Calhoun,al,29534,16670,26322,30734,41507,50997,37340,21295,34517,42209,51938,58963,22008,11860,19876,22086,36736,48530
Chambers,al,27217,20973,21273,29440,46036,60426,30678,25765,27336,33505,51842,61178,23684,16434,18130,27843,40766,54205
Cherokee,al,30421,20664,27062,31927,39528,55571,35434,23552,33003,41329,44934,73409,25623,15667,20625,25106,39019,53955
Chilton,al,32002,24717,30556,32488,44161,53205,38491,28740,39572,41410,60242,73750,25972,19923,21396,28350,38679,51133
Choctaw,al,28586,25606,30161,25962,41188,40821,44075,27770,44950,47895,50682,52656,20048,4647,20379,19702,31875,30179
Clarke,al,31138,16196,25900,34611,39149,53906,42939,18889,42730,44931,46705,67857,23571,10938,16035,27122,31604,53153
Clay,al,28530,25896,26143,29085,34028,49269,31345,28769,30667,32964,31865,48750,24448,17258,17487,26129,41250,49554
Cleburne,al,29253,22636,24627,30940,52769,54643,38613,24597,33135,47946,58407,58182,21495,11344,17115,21004,41817,53929
Coffee,al,32024,18102,25468,34213,44113,61713,42196,20136,30373,49448,60268,74228,24208,16985,19059,22592,35170,52443
Colbert,al,31845,18219,28081,30728,47489,56505,39685,19856,39142,38191,55573,77295,24542,16370,19907,23228,40841,51875
Conecuh,al,25908,20000,24755,19968,50313,56792,35088,25603,32300,50186,53214,61563,19508,10104,19732,18543,42298,52384
Coosa,al,26513,19514,24325,30800,37308,56016,31300,24338,30814,36000,36442,67574,23439,17852,18733,24781,46875,50664
Covington,al,25825,16431,21821,27599,37686,54550,29673,18472,26584,34332,58257,64286,21102,12899,16241,22615,35737,53010
Crenshaw,al,27626,18981,30157,29444,43125,38839,33511,23352,34310,44432,43750,53750,22035,14911,19866,21520,42823,36711
Cullman,al,28423,18225,25863,30556,40979,53276,33418,20797,31058,38061,48831,74191,23557,14296,17879,25751,38250,49698
Dale,al,30997,18579,25108,33270,43865,49634,39017,19228,31226,43345,56769,58523,24042,18110,19689,25220,34829,48164
Dallas,al,25760,17651,22031,26872,32260,53109,31608,23832,31695,31476,50000,72857,19846,9482,17951,20049,27688,50169
DeKalb,al,26078,18381,25840,28665,40652,48774,31451,21868,31265,36861,52813,57111,20903,15931,19469,25526,29458,46019
Elmore,al,35695,21592,28827,33082,50083,54730,44531,29622,36603,46473,59500,71314,28621,11481,21979,26651,43187,49540
Escambia,al,26244,14037,22891,29462,38722,52861,30489,13750,27727,36696,34213,57415,21794,17524,17260,22448,40742,50915
Etowah,al,28946,19804,23868,28810,42452,53656,34315,25462,30285,37298,48500,63690,23403,15638,18947,23296,39183,51729
Fayette,al,29282,18194,28846,29070,42237,43785,33955,19758,36418,37794,27467,36765,21499,13000,18586,21071,50083,44132
Franklin,al,27153,20253,25872,28604,40962,54091,32713,21924,34917,36507,49047,68958,21258,15711,17669,22937,33047,51591
Geneva,al,25046,18087,24026,26141,36913,53202,27449,18654,30317,30892,37363,62578,22353,14651,17938,23833,34881,52627
Greene,al,22149,17361,19421,25127,80313,56384,22371,18977,21581,24737,53750,250001,21860,15962,16997,25368,122557,55804
Hale,al,23767,17734,19452,31827,33056,49559,25714,18393,20982,38229,48516,76154,22161,15441,18150,26557,31505,48466
Henry,al,30512,19231,26654,30934,54221,49250,37994,22434,32111,39547,68583,70298,23931,10729,20965,22285,37016,43850
Houston,al,29799,16727,24254,30021,47570,55462,37399,20934,30717,38580,59950,77611,23709,13213,18861,24586,37118,51307
Jackson,al,27482,22432,24668,29006,45352,54341,32007,25971,29854,34181,50978,92708,22489,17414,19332,24252,42898,46818
Jefferson,al,34040,17383,25876,31420,46068,58491,40765,20322,31187,38882,57312,77456,29348,13107,21020,27281,38861,52257
Lamar,al,30019,21603,27405,29414,49341,46083,34177,25567,33073,38688,53790,80292,20600,4583,17965,20722,46103,39643
Lauderdale,al,30293,18007,25006,30140,39358,51799,38885,24977,35130,39248,52928,66315,21887,12508,17542,23558,31206,45525
Lawrence,al,31215,21633,27387,30810,41101,50500,40166,30000,38681,43092,45313,65820,21170,15597,18183,21592,38359,37431
Lee,al,32702,18942,25915,31860,43493,54166,38560,21674,31040,40518,51459,65566,26811,13439,20684,25126,39981,50458
Limestone,al,33741,20101,26222,32471,54487,61635,41016,25330,35212,41919,78340,91134,25685,14543,20478,26352,41953,51064
Lowndes,al,27010,15801,26316,27719,38008,44479,35344,16553,32602,46667,78958,63056,20485,15000,18933,19469,33125,42604
Macon,al,25204,20219,21835,25328,38869,48990,28243,21581,25228,33807,42986,47026,21776,19299,17993,20279,35682,52222
Madison,al,37949,17653,26168,32030,56898,75616,49986,20257,30641,39830,76695,99188,30319,15155,20957,26770,40463,55768
Marengo,al,29058,20337,21175,31582,42517,50579,38575,30859,28054,44818,52422,52857,21298,16103,15788,22447,38424,50518
Marion,al,25283,17055,22352,27331,50369,49267,29753,21323,27362,32558,52234,58000,20801,12223,17729,23174,40208,46900
Marshall,al,27276,17978,25141,30492,46568,54954,32018,20277,30733,36193,63713,76576,22364,14507,20048,25222,39262,47237
Mobile,al,31385,18932,27031,30424,43612,52792,40064,25235,35084,41943,54093,74545,25193,13565,20268,24671,37033,48255
Monroe,al,27128,17729,26120,27713,42443,56055,34303,22279,33935,41229,54784,77132,20930,6127,19232,22896,35833,55176
Montgomery,al,31731,15098,24131,28936,45175,57444,37525,17696,26628,34820,58682,81995,27785,13540,21645,25657,37651,49402
Morgan,al,29652,18544,25940,29457,47440,54877,38546,20280,34087,39685,64252,74327,23120,13250,19978,23692,32807,48900
Perry,al,21276,16795,17267,29904,29417,32500,25455,20208,19545,33125,29694,14583,18985,9063,16384,24806,24265,38958
Pickens,al,27165,23281,24073,29350,38482,50116,32795,28145,29419,40238,42875,50179,21050,16300,19199,21888,31579,50104
Pike,al,29441,20270,26533,29366,41483,51196,34300,21660,30417,32455,46948,62393,24760,17665,21224,22891,37440,45151
Randolph,al,27426,17102,23096,33255,45469,52500,31995,21339,30476,37313,59583,60234,23503,15152,19819,24777,41575,51065
Russell,al,28111,16635,24034,29855,43289,53135,32981,20943,30730,37554,50539,63227,23639,13036,18467,25559,38750,48500
St. Clair,al,35778,20468,32222,35577,48226,55781,41884,26422,39346,45574,59911,66800,27442,13253,22576,28485,37634,52176
Shelby,al,43241,20194,30874,39464,54165,63637,54221,22913,36148,52973,71853,83826,32552,15055,25701,29940,40141,52210
Sumter,al,22094,21667,18141,16856,38829,42778,26875,25762,25055,27135,42000,63333,16798,14259,13673,15518,38581,40139
Talladega,al,26522,18319,25286,27438,36977,53176,31874,21227,30372,39211,41394,56477,20538,14393,18943,20609,32051,52613
Tallapoosa,al,27619,21585,23669,28994,44350,56017,30731,24451,28588,29911,54706,66875,25257,17527,21750,27283,40026,54825
Tuscaloosa,al,32855,17813,27758,31677,42656,52865,40742,20661,32571,41535,55015,70331,27237,12533,21428,25739,34885,46924
Walker,al,30360,20527,26921,30816,41667,60819,38681,23191,35748,44343,50237,86148,21377,12680,18672,21723,37614,53804
Washington,al,32602,30000,30119,32991,39545,58750,45272,34964,42679,52824,42368,73646,21456,7014,19792,22491,36500,53125
Wilcox,al,25070,12192,27025,19909,43700,30446,31111,10841,35223,24688,59375,73750,19811,30329,16814,19150,39828,14631
Winston,al,24464,16705,20190,28571,39563,53922,31119,19617,25718,36732,42500,116053,20011,10848,16298,22414,23750,47500
Aleutians East Borough,ak,21953,21953,20770,26383,22431,74000,22940,22885,21192,26352,27875,71250,20164,19250,19671,26750,19592,74000
Aleutians West Census Area,ak,27144,19149,25012,36765,36250,75938,26696,18393,25140,37566,36429,77083,30079,20972,24612,36042,32404,75250
Anchorage Municipality,ak,44871,24100,31994,42876,55234,73295,54200,28685,39582,52327,73099,84727,37318,22083,26624,36095,46051,63871
Bethel Census Area,ak,26016,12106,18216,31049,67206,72857,24979,13534,19640,34412,74519,96250,26712,11273,16148,29150,63922,72083
Bristol Bay Borough,ak,51354,8750,44318,54028,50000,62188,63889,9583,49583,74375,58250,96071,40313,5000,43750,36688,22250,58750
Denali Borough,ak,49583,12500,51250,59917,41761,54779,66000,17500,66250,67802,54375,81458,30365,4471,49000,31042,35000,53456
Dillingham Census Area,ak,31373,10395,21792,31802,51705,70625,30515,9750,21750,36429,59063,87708,32454,11094,21800,30200,49500,70000
Fairbanks North Star Borough,ak,41980,29938,35819,41604,45325,64811,52623,36292,44437,51847,63236,75946,33730,18083,25036,32412,36831,54520
Haines Borough,ak,25840,2499,22135,25000,30313,57837,26833,2499,25450,27250,25833,58942,24107,NA,21538,23661,31830,11607
Hoonah-Angoon Census Area,ak,26044,16016,25847,26078,26184,48250,30391,17083,27135,31042,27232,52500,20446,14028,21250,16250,24028,41250
Juneau City and Borough,ak,44931,24625,34470,40414,49969,69119,51834,43625,41327,48036,63915,80192,37931,20923,31401,35386,42074,63177
Kenai Peninsula Borough,ak,36566,22012,32417,35609,42659,58397,50908,33598,47773,52044,59413,67000,26846,15625,21620,25426,32986,54724
Ketchikan Gateway Borough,ak,39446,29688,31536,36444,46500,63438,47699,32386,42550,45690,61014,74489,31722,16563,26381,30172,41678,56250
Kodiak Island Borough,ak,35527,14176,28409,37245,37367,68925,49091,25863,36746,47114,60809,82000,25933,12611,25679,26273,31339,45089
Lake and Peninsula Borough,ak,26902,11875,20417,27614,51250,65625,37500,12083,40781,36250,63958,78438,20521,11818,6250,24375,26875,64167
Matanuska-Susitna Borough,ak,43073,20969,40518,41542,52237,62049,54644,32250,52645,57550,63423,67222,29815,12939,23013,28224,39155,60125
Nome Census Area,ak,30499,13929,19167,35781,65179,74239,28333,15743,19572,27188,71090,73750,31705,8750,17067,40526,59009,86875
North Slope Borough,ak,56250,22112,43281,54600,82237,77917,69635,43125,59129,73711,90682,80417,34973,18167,17778,31250,76190,72386
Northwest Arctic Borough,ak,31589,8500,24094,41352,65500,91161,35323,9500,29306,54605,74896,91389,27309,6500,19000,36509,60893,90750
Petersburg Census Area,ak,32434,20313,30833,27220,43750,29948,45568,21406,39900,50652,56429,31250,23917,6154,14300,22071,35875,29792
Prince of Wales-Hyder Census Area,ak,30042,18125,23375,29915,48750,63077,39241,24583,31875,44773,58636,66250,20957,11458,15563,21808,40125,59167
Sitka City and Borough,ak,40620,22857,32301,39688,47531,57212,47092,50313,40667,41323,49059,76500,32515,22628,23531,34792,41875,50076
Skagway Municipality,ak,32135,13365,31487,32173,45417,41250,39866,20000,32019,45521,60000,58333,30671,13068,18269,31313,38500,40625
Southeast Fairbanks Census Area,ak,41215,20833,26875,43531,49643,64722,55129,40833,26771,62813,51932,75583,28852,17188,26958,29286,42120,46146
Valdez-Cordova Census Area,ak,39412,23099,33802,41563,44141,62212,49286,19833,42146,63185,54327,62009,30233,35060,21461,30580,37844,62656
Wade Hampton Census Area,ak,16968,9250,12730,22821,50313,65000,16966,13125,12500,21932,53750,78125,16971,6838,13092,23580,50156,59375
Wrangell City and Borough,ak,32009,43409,30972,27240,40893,93056,41713,45250,36776,38542,43304,94861,26337,43182,26473,23365,31500,39479
Yakutat City and Borough,ak,48068,15000,37083,49167,73750,66458,63182,15417,41250,60208,85659,84375,40938,6250,21875,43250,40278,18750
Yukon-Koyukuk Census Area,ak,21697,9677,16607,26563,45795,65000,21807,11000,17750,31000,48125,60000,21567,8864,15341,24474,41875,67083
Apache,az,27102,17138,20418,28894,41889,49049,29028,19257,24625,34607,42273,49922,25975,13948,17898,26815,40772,48795
Cochise,az,29940,14067,20768,30973,41951,51551,34167,17114,23447,38033,65591,62458,25704,9899,18215,26477,32611,45346
Coconino,az,31734,18813,26465,30427,37998,52667,35733,22009,29171,36269,46643,59954,27174,15583,22220,25894,32379,46215
Gila,az,28799,18542,25511,30968,33333,43083,34735,17008,32358,38732,39198,49914,22471,21167,19551,23701,29787,21250
Graham,az,31696,19737,27730,35148,35165,55689,39442,21734,33611,44119,40161,61914,25163,14710,20085,24682,31719,51389
Greenlee,az,37092,17569,34735,38902,49688,75714,50761,28375,50909,52904,51406,75536,23638,8333,24120,20217,41300,78393
La Paz,az,25940,20829,22271,29146,44109,60833,31442,26225,28372,34575,49464,121205,17977,13316,16859,22209,34375,38839
Maricopa,az,36903,20676,28627,36175,51637,65648,41848,23273,31655,42102,62772,81876,32186,16448,25192,31394,42057,54241
Mohave,az,25451,15623,22361,26443,37418,45413,30215,18563,27505,31737,39437,53420,21420,13899,17171,24518,36229,43467
Navajo,az,27831,17369,23200,28267,40156,47955,33690,20945,28563,35386,48200,53021,23138,13381,17945,23648,33036,43355
Pima,az,31404,17686,24278,30855,42240,56147,36780,20518,27389,37287,52877,72482,26840,14276,21178,26191,35070,47089
Pinal,az,34215,20032,30223,36022,45877,51012,39328,22507,34066,43279,54878,65584,29776,15307,23272,30414,38411,45457
Santa Cruz,az,24526,14679,20366,29416,43349,40893,29627,19375,21540,41708,47318,37734,19838,12612,19955,20010,36265,47578
Yavapai,az,28007,15853,23554,28778,37410,40542,31490,19412,28378,33225,43327,40989,23630,12544,20077,24061,33834,40323
Yuma,az,25906,14843,22665,30274,40984,53784,31284,20133,29884,38560,51932,67600,20260,9705,16569,23325,35793,51017
Arkansas,ar,27039,14653,26140,25291,44609,51250,33634,21490,31543,36333,76141,75625,21325,10949,20385,21359,37284,47240
Ashley,ar,29115,19439,25868,26167,41486,46929,41623,26218,41438,41558,57407,66103,20151,12378,17242,18690,36222,44135
Baxter,ar,24043,14261,20398,25413,31069,47381,26935,16903,24831,27685,31705,68993,21346,9093,17533,23327,29444,40536
Benton,ar,34080,22159,27890,33136,53326,61357,38915,23973,33071,37085,69211,79746,28680,20255,23596,29229,42471,52164
Boone,ar,26206,18902,22856,25894,39074,62500,31271,21681,28344,31773,49792,78864,22012,9491,16967,23184,32325,47500
Bradley,ar,27048,16334,25389,31376,37173,52054,32688,21184,29944,45441,31324,105300,21368,14327,21121,20245,40542,47679
Calhoun,ar,25302,24107,22750,26118,32313,44922,28984,26625,27031,34545,87563,NA,21409,4688,17719,23016,31625,65288
Carroll,ar,23784,20811,23169,24164,38042,45833,26131,21799,26186,27147,41917,60571,22127,16867,20943,21529,24342,43304
Chicot,ar,21406,15269,20295,24227,27596,51042,25912,21655,23797,31726,48816,104896,18185,12467,14849,22045,24583,41042
Clark,ar,26018,11847,21770,25942,36907,43364,32445,15893,30075,35081,46042,46944,21856,10160,17659,22472,33545,40875
Clay,ar,24545,19896,21817,26381,35473,48293,29107,21415,26217,35601,40972,71591,20644,11650,19041,19821,31313,46413
Cleburne,ar,25062,15668,25241,21151,37420,53021,34072,21515,30773,25163,49858,53646,17555,12674,15114,17195,22036,51667
Cleveland,ar,28271,19191,25653,30409,40801,41375,34400,18860,33889,32486,73272,40417,24674,23125,18917,26111,33452,42159
Columbia,ar,26108,16375,22609,24241,41830,43036,37568,20086,31538,38274,50778,67250,20701,10250,17222,20862,34500,35170
Conway,ar,28862,16551,25825,30087,40982,47537,35538,18148,32983,42738,44100,75104,24630,14722,20230,25517,37917,44000
Craighead,ar,30160,18818,25976,28399,38413,58343,35393,21135,31519,35741,42243,78571,25050,13684,19535,22963,34543,51786
Crawford,ar,27088,18829,22410,27770,42280,56640,32858,19832,30463,32436,49683,81579,21960,17619,18810,23537,38320,47664
Crittenden,ar,30882,20815,26038,30600,48342,54384,36624,22304,34721,37484,59283,60676,26253,16686,21204,26357,42623,50604
Cross,ar,27930,18091,25649,30910,45350,46290,33438,18877,31548,43672,70461,46016,21564,16359,17255,26235,39519,46383
Dallas,ar,26515,21691,26096,30174,38298,49345,31500,24318,32490,31914,48359,211354,19424,13785,18044,22708,38005,48571
Desha,ar,26877,18623,25212,28233,35087,44960,32207,21378,32026,37115,45547,76071,20243,15458,16190,19602,31000,43063
Drew,ar,26855,15985,21907,24198,41180,61625,34844,16134,30597,35920,42394,73537,21704,15806,17179,20768,40316,57188
Faulkner,ar,35714,20372,28987,33060,47554,55405,41792,26517,35339,42989,57234,66710,27831,14421,22311,23610,40744,51202
Franklin,ar,26573,16296,22307,28556,37684,51350,33489,21743,28538,35705,41027,56875,19781,12761,16536,25153,35766,47222
Fulton,ar,22240,17620,20275,22973,35833,46786,26211,14375,25224,25000,48859,51620,18194,18807,15736,20184,26477,43558
Garland,ar,25683,17605,22022,24591,41732,54189,29784,20190,25471,28924,50257,71467,21878,12932,17716,21468,37623,46367
Grant,ar,31613,18672,27891,31038,46708,47254,37230,24009,33638,43875,58021,47121,26929,15074,21040,26224,45721,47941
Greene,ar,29573,26437,26696,27191,43409,56088,32832,27236,31680,34350,52160,55042,24275,16645,21244,21887,37107,57396
Hempstead,ar,23823,19273,20470,23284,37885,54561,29095,22808,26091,32454,41788,50833,19953,16136,16133,18156,35318,58220
Hot Spring,ar,26822,21689,22074,27452,38255,48074,29789,23125,29571,30471,44697,59545,22644,16929,16532,23815,37083,47473
Howard,ar,23823,20840,22500,22175,39013,44972,31434,24040,28545,36719,60029,43977,18895,13631,16348,20186,33333,45607
Independence,ar,25337,20397,21550,24618,37009,55694,30246,21420,27311,31383,49904,121406,20772,14855,16090,20596,32092,44716
Izard,ar,23177,20750,19983,22778,33103,47500,25721,23231,25179,26287,27287,51111,19236,12750,15809,19936,33654,44265
Jackson,ar,22966,12096,20144,26313,43377,52875,28139,13542,25506,31703,51629,100144,17737,9514,15340,21543,31493,45521
Jefferson,ar,30303,16812,25482,29111,43000,51337,36301,23369,32061,40613,53370,51813,26271,13376,22578,24913,36689,51002
Johnson,ar,26000,20579,23889,25422,36567,52872,31003,23299,30390,34271,43526,62458,20776,18022,17426,20308,34944,50337
Lafayette,ar,22828,10712,23056,24434,34500,46250,25014,11280,25085,37315,26563,45972,21393,7470,22534,17149,36420,46477
Lawrence,ar,24447,20000,24375,22289,34639,38707,26282,24141,26001,28500,34079,24716,21212,11696,20993,18750,34962,44219
Lee,ar,22654,13981,20908,24080,36672,34881,25801,24167,23786,30337,37162,41023,20306,6905,17215,22500,36219,34107
Lincoln,ar,26573,17658,25584,26197,48468,48667,27324,17961,26829,31042,75781,62895,23950,14767,20667,22440,39394,39615
Little River,ar,28266,22167,28886,26888,38521,41563,37165,23830,42135,36719,50313,55625,21375,6000,16250,25285,38297,40781
Logan,ar,27509,22547,23236,30833,45050,46771,32265,26356,30854,35625,57841,41042,21484,13264,18574,22847,40190,47500
Lonoke,ar,34052,19417,29420,34306,46621,56569,42075,23440,37754,44905,52222,61389,26628,13492,23624,26608,38990,51522
Madison,ar,26303,20938,25938,26504,43313,54250,31523,24444,31471,38750,48958,48750,21421,18419,21054,20099,40234,54536
Marion,ar,22111,15123,20659,24313,35625,42222,22038,15370,21806,26935,40625,47206,22269,14628,18762,23486,32818,40833
Miller,ar,27976,17803,25099,29662,38698,50789,33710,24122,30868,38660,49952,76542,24182,8480,20975,25801,29975,45919
Mississippi,ar,27361,17176,25439,29843,40821,50568,34933,19570,33867,39038,48031,71493,20261,16107,17310,21599,36354,48325
Monroe,ar,23429,15375,19556,25453,38250,37500,26967,20417,21750,30529,46250,38750,20000,13125,18196,22143,36378,26786
Montgomery,ar,22167,13875,19441,25917,33368,42768,27323,20068,25327,34316,30625,31750,15539,7917,11678,18438,34410,44375
Nevada,ar,22227,14423,20554,23672,47353,35909,28115,16964,24363,35170,55139,11477,19333,10603,16472,20472,43571,42212
Newton,ar,19146,16765,16711,22366,30175,14271,20331,20438,17946,23500,31319,14167,17880,10486,14550,21953,23750,17813
Ouachita,ar,27247,14801,22574,26664,40637,46875,34904,22955,30639,36059,52656,57500,20469,12972,17672,20363,35697,41524
Perry,ar,29789,25625,26835,37037,31875,53938,33583,34412,30694,38571,35104,65625,24663,22643,21974,35093,30938,53188
Phillips,ar,24318,16995,20817,21457,41779,51413,30229,24333,25300,30347,50313,77969,20757,14526,17827,17026,35980,43667
Pike,ar,25428,16753,21615,26305,37120,46707,29548,23973,27394,41172,51875,73375,20833,14128,15847,21203,30313,45545
Poinsett,ar,24919,17572,23366,27163,38803,46736,29670,22083,27813,31049,40868,64286,20279,12556,18309,21669,37531,43813
Polk,ar,25219,21395,21197,23886,32656,50192,29626,26316,26966,31107,30938,53906,19157,13821,16379,20364,34375,40536
Pope,ar,26910,20331,22405,26972,36033,47955,33565,24310,29450,37739,45142,62353,20377,14835,17333,19717,29464,42000
Prairie,ar,27316,15956,28211,28090,33587,38958,32892,25025,32925,45625,37813,39375,19108,11108,19572,19969,31324,38750
Pulaski,ar,34575,17035,25276,31412,44980,63152,40224,20715,29006,36107,53245,76544,30503,14849,21408,28920,37590,55269
Randolph,ar,26338,23773,22367,25480,34758,51484,32587,30950,30360,29360,45476,105800,21994,12500,17897,22370,31959,45190
St. Francis,ar,25492,17321,23554,24783,44016,49205,27191,20888,26473,28330,48132,43920,22659,15045,17061,22854,40864,49924
Saline,ar,35341,21605,30363,34017,49210,59261,40615,23205,35641,40496,62891,75066,30687,19641,25717,28926,41794,49894
Scott,ar,24882,21623,24455,23806,37446,47153,31382,30139,31947,29926,31923,4205,20217,14088,15391,20928,38197,47750
Searcy,ar,19665,10426,19461,19876,32750,42404,20610,9306,22096,20066,54432,40577,18835,10813,16801,19750,27391,48109
Sebastian,ar,29551,20797,24225,30975,43504,58933,35092,22168,30064,37063,55000,85200,24122,17095,20187,25909,36973,48258
Sevier,ar,25020,21559,25322,23634,44200,53315,28660,23434,29449,33105,50313,73897,21276,17488,20162,17813,43150,50682
Sharp,ar,22273,16711,22310,21578,32039,44722,29656,15945,30037,32500,33750,42000,18152,18007,14688,17681,31622,45143
Stone,ar,20357,22165,18660,18832,32976,45288,21440,25875,20541,19760,30571,71544,18446,17419,16250,17412,35926,44643
Union,ar,29430,15818,24252,29879,42828,63949,38640,26395,31353,46859,60855,83417,20988,12207,16655,20956,36801,54281
Van Buren,ar,21844,20315,21154,21058,36000,36424,31601,21930,29444,35347,43235,35714,16360,6848,14557,15864,30375,36767
Washington,ar,30359,21280,25604,30022,43658,58581,33970,23337,29517,34795,51229,70576,25919,17649,21337,25990,36657,51533
White,ar,30785,19542,26606,31160,39920,51250,38952,22175,33560,46899,49850,62300,22412,15453,19674,21425,34691,46437
Woodruff,ar,24520,16996,22286,28173,34542,45192,29068,21011,30592,30305,51250,32143,20122,11952,18490,27537,32692,45385
Yell,ar,27664,22195,26909,27647,45104,52917,32381,27485,33735,31746,53707,105833,21380,16366,18301,21691,37930,48690
Alameda,ca,45381,21318,31621,41198,59910,83248,51234,25602,35495,46483,68099,101974,40613,16284,27363,36026,51883,67308
Alpine,ca,28750,8571,26429,32576,25469,61250,31731,8482,23750,33966,23750,93958,26250,12750,43250,13810,26094,54792
Amador,ca,33986,15599,23953,35396,47224,74658,41704,13929,29511,47324,53456,75449,28475,15994,17788,28733,41661,73938
Butte,ca,30223,19798,25681,28529,40898,55807,34404,22013,27452,34522,46497,70885,25943,14926,23523,23486,35180,50078
Calaveras,ca,37910,12368,33776,37438,49069,70978,44797,10660,41315,46335,49804,98676,28621,25129,25900,25507,44405,49722
Colusa,ca,29298,19906,30502,34238,51000,56375,31975,24476,32593,42281,56563,24655,22722,12431,23438,25500,46378,108500
Contra Costa,ca,47860,21501,32008,43664,64729,88554,55283,25460,37743,52552,80811,111638,40362,16644,27830,37063,52890,68974
Del Norte,ca,29575,13412,25634,28681,52167,61019,33653,14583,30798,42904,53438,68250,23103,12246,15852,21748,51292,60741
El Dorado,ca,41460,19997,31045,36215,63372,80167,52123,25271,36391,43194,81320,99900,33918,14750,23021,31870,47837,62158
Fresno,ca,28746,15623,24940,31695,51830,68658,31297,18150,27473,39351,60832,77168,25690,11834,21848,26923,45298,63497
Glenn,ca,27419,19850,25606,30805,45250,50521,31596,22714,29475,35643,55431,88021,21328,13703,17064,25954,34300,43700
Humboldt,ca,28175,19176,25987,26584,32465,51240,34495,21080,31159,34283,40106,61891,23524,14082,19041,21782,29252,40202
Imperial,ca,26981,15393,26235,31902,44070,68026,33391,20755,31941,42587,50071,73131,20200,9585,17516,25882,36975,61092
Inyo,ca,32307,20221,30098,32377,52526,54318,40451,22313,35984,45592,59766,69010,26687,11070,21380,28257,33500,51402
Kern,ca,29755,17002,26496,35393,55407,71847,35874,20898,32476,46914,65920,83750,23101,12427,20285,26828,48963,62583
Kings,ca,29092,19353,26368,32968,50884,76625,33008,21146,31293,40848,59881,85912,23316,14049,19910,25600,43248,62045
Lake,ca,25933,15039,22328,26611,38468,41901,31310,16337,27665,35288,51068,36774,21387,12452,17925,21180,29222,42209
Lassen,ca,35129,9629,24909,37328,47058,50278,43154,10000,30202,54589,67841,59063,26703,6500,17865,26767,43415,35156
Los Angeles,ca,33614,18511,26625,35824,51864,73546,37182,21409,30220,40835,58750,85612,30515,14831,23058,31688,45786,63504
Madera,ca,25712,18969,27330,32096,51384,61900,29560,20718,34863,41792,53796,62109,22649,13455,21258,25603,48462,61161
Marin,ca,51667,18334,29213,41090,63419,85429,62816,22562,36035,45503,86032,107471,42677,14705,21528,35196,50243,64721
Mariposa,ca,34337,24492,24033,37421,49087,61250,37090,23164,24098,43476,57670,87391,30410,26012,23892,31667,48942,45573
Mendocino,ca,27253,20190,25972,27620,33693,50453,31766,23015,29698,36461,38614,52991,23553,11932,19978,22747,31905,49243
Merced,ca,26664,17678,27048,31164,50062,70564,30717,21491,32914,39812,53326,76455,22196,12468,20750,26126,47672,63419
Modoc,ca,23865,9531,18718,28440,23472,40368,27165,13689,23576,28750,27875,55750,20345,6601,11289,28176,20563,30944
Mono,ca,29427,25162,31056,27178,36374,35437,32643,30412,31683,38429,29596,41121,24636,12949,30694,21250,40179,13750
Monterey,ca,30283,17158,27655,37206,51407,72665,32915,20186,31395,43520,59291,84505,26288,13518,24304,31438,44209,61234
Napa,ca,39903,25169,31037,40635,55415,78407,43325,30453,35646,45180,63735,94539,35893,15349,26168,36594,48956,64030
Nevada,ca,34162,17279,29103,31751,38636,61480,43445,20093,38094,40688,47380,80391,27619,14063,23997,25700,34455,51486
Orange,ca,41754,20014,29813,41052,60827,84349,49448,22969,33320,48123,74224,102591,34776,15846,25510,34956,48054,67512
Placer,ca,46157,21646,33056,41216,63200,76932,56178,23651,37370,51585,77057,91720,37713,16916,29154,32164,50122,66224
Plumas,ca,30948,13878,26469,31725,50046,50050,34773,27143,28125,40494,70154,43333,27111,9840,23788,25137,34891,52695
Riverside,ca,34088,20731,29210,37446,53248,72417,40677,24938,34628,48084,62800,82460,27357,15379,22692,29977,44363,65294
Sacramento,ca,37877,18563,28349,36358,53605,73529,42111,20844,31339,41120,62253,83008,34125,15430,25835,33010,47220,64630
San Benito,ca,35928,18087,34888,39136,64337,67992,41375,23837,43185,51161,82153,102802,29253,11952,25489,33438,55713,54709
San Bernardino,ca,34273,21442,29877,37059,52489,71383,40341,26106,34750,44969,63215,81086,28107,15747,23693,29820,44664,64348
