County,State,B19013001,B19013001s,B23006001,B23006002,B23006003,B23006004,B23006005,B23006006,B23006007,B23006008,B23006009,B23006010,B23006011,B23006012,B23006013,B23006014,B23006015,B23006016,B23006017,B23006018,B23006019,B23006020,B23006021,B23006022,B23006023,B23006024,B23006025,B23006026,B23006027,B23006028,B23006029,B23006001s,B23006002s,B23006003s,B23006004s,B23006005s,B23006006s,B23006007s,B23006008s,B23006009s,B23006010s,B23006011s,B23006012s,B23006013s,B23006014s,B23006015s,B23006016s,B23006017s,B23006018s,B23006019s,B23006020s,B23006021s,B23006022s,B23006023s,B23006024s,B23006025s,B23006026s,B23006027s,B23006028s,B23006029s
New Hanover,nc,50420,831.5151515,108446,8992,6119,0,6119,4958,1161,2873,21456,16255,94,16161,14473,1688,5201,36878,29572,232,29340,26547,2793,7306,41120,35042,171,34871,33488,1383,6078,122.4242424,590.3030303,556.3636364,18.18181818,556.3636364,481.8181818,198.1818182,232.1212121,697.5757576,586.0606061,43.63636364,589.6969697,558.1818182,196.3636364,341.2121212,926.6666667,795.7575758,75.15151515,795.7575758,789.6969697,298.7878788,429.0909091,793.9393939,732.7272727,69.09090909,742.4242424,773.3333333,175.1515152,320
Northampton,nc,30911,1252.121212,11224,2428,1134,0,1134,918,216,1294,4287,2814,0,2814,2323,491,1473,3459,2670,0,2670,2304,366,789,1050,797,0,797,784,13,253,46.66666667,210.3030303,152.1212121,14.54545455,152.1212121,138.7878788,62.42424242,147.2727273,244.2424242,219.3939394,14.54545455,219.3939394,201.8181818,90.90909091,143.6363636,212.1212121,200.6060606,14.54545455,200.6060606,186.6666667,103.6363636,96.36363636,111.5151515,93.33333333,14.54545455,93.33333333,93.33333333,8.484848485,64.24242424
Onslow,nc,45812,701.8181818,78535,6193,3921,76,3845,3277,568,2272,22252,16410,3000,13410,12356,1054,5842,34980,27322,6488,20834,18911,1923,7658,15110,12684,2401,10283,9714,569,2426,116.3636364,380,306.0606061,49.6969697,313.9393939,276.3636364,108.4848485,229.0909091,563.6363636,497.5757576,226.0606061,495.7575758,492.7272727,136.969697,329.0909091,705.4545455,617.5757576,296.969697,586.0606061,501.8181818,252.1212121,423.030303,470.9090909,381.2121212,196.969697,367.8787879,374.5454545,118.7878788,186.0606061
Orange,nc,55241,1561.212121,68136,5475,3820,0,3820,3463,357,1655,9991,7438,0,7438,6538,900,2553,13489,10691,12,10679,9844,835,2798,39181,33634,28,33606,32682,924,5547,94.54545455,360.6060606,302.4242424,18.18181818,302.4242424,302.4242424,78.78787879,206.6666667,381.8181818,373.3333333,18.18181818,373.3333333,335.7575758,166.6666667,210.3030303,493.9393939,412.7272727,11.51515152,413.9393939,386.6666667,125.4545455,235.7575758,541.2121212,581.8181818,21.81818182,583.030303,592.1212121,125.4545455,296.969697
Pamlico,nc,43825,2257.575758,6980,907,332,0,332,315,17,575,2206,1511,0,1511,1401,110,695,2576,1649,3,1646,1527,119,927,1291,1007,0,1007,970,37,284,47.27272727,105.4545455,64.84848485,12.12121212,64.84848485,63.63636364,10.3030303,110.9090909,172.1212121,156.3636364,12.12121212,156.3636364,149.6969697,40,116.969697,164.8484848,135.7575758,3.03030303,135.7575758,129.0909091,41.21212121,124.8484848,133.9393939,126.6666667,12.12121212,126.6666667,126.0606061,12.72727273,57.57575758
Pasquotank,nc,46032,1482.424242,20766,3073,1986,0,1986,1679,307,1087,5622,4019,92,3927,3463,464,1603,7459,6019,510,5509,5081,428,1440,4612,3804,67,3737,3456,281,808,93.33333333,238.1818182,190.9090909,16.36363636,190.9090909,179.3939394,70.3030303,133.9393939,339.3939394,233.9393939,30.3030303,233.3333333,205.4545455,102.4242424,220.6060606,298.1818182,264.2424242,101.8181818,252.7272727,246.0606061,89.09090909,150.3030303,266.6666667,255.7575758,29.09090909,256.3636364,255.7575758,83.63636364,96.96969697
Pender,nc,44071,1133.939394,28262,3427,1872,0,1872,1640,232,1555,8948,6282,0,6282,5682,600,2666,10179,7324,24,7300,6747,553,2855,5708,4552,105,4447,4277,170,1156,113.9393939,295.7575758,207.2727273,18.18181818,207.2727273,200,63.63636364,190.9090909,380.6060606,346.0606061,18.18181818,346.0606061,329.6969697,104.2424242,213.9393939,416.3636364,343.6363636,16.96969697,341.2121212,346.6666667,114.5454545,314.5454545,364.8484848,347.8787879,48.48484848,338.7878788,336.3636364,47.27272727,143.6363636
Perquimans,nc,42410,2083.636364,6878,844,374,0,374,321,53,470,2382,1667,0,1667,1401,266,715,2454,1712,20,1692,1466,226,742,1198,949,12,937,924,13,249,66.06060606,126.0606061,81.81818182,12.12121212,81.81818182,75.75757576,24.84848485,98.78787879,177.5757576,169.0909091,12.12121212,169.0909091,153.9393939,68.48484848,105.4545455,161.8181818,168.4848485,18.18181818,170.3030303,153.9393939,59.39393939,118.7878788,129.0909091,115.1515152,11.51515152,113.3333333,113.9393939,12.12121212,61.81818182
Person,nc,43292,989.0909091,21197,2695,1555,0,1555,1405,150,1140,7670,5831,0,5831,5419,412,1839,7453,6081,3,6078,5555,523,1372,3379,3041,0,3041,2823,218,338,82.42424242,225.4545455,172.1212121,16.36363636,172.1212121,164.8484848,64.84848485,178.1818182,355.7575758,315.7575758,16.36363636,315.7575758,300,89.6969697,172.1212121,346.6666667,319.3939394,3.03030303,319.3939394,313.3333333,90.90909091,142.4242424,309.6969697,287.8787879,16.36363636,287.8787879,264.8484848,76.96969697,79.39393939
Pitt,nc,40452,772.7272727,82111,9592,6343,0,6343,5350,993,3249,19860,15123,18,15105,13764,1341,4737,28582,23690,134,23556,21670,1886,4892,24077,21277,13,21264,20714,550,2800,81.21212121,473.3333333,392.7272727,18.18181818,392.7272727,380.6060606,127.2727273,245.4545455,669.0909091,608.4848485,13.33333333,607.2727273,589.0909091,174.5454545,325.4545455,581.8181818,576.3636364,45.45454545,583.6363636,544.2424242,208.4848485,253.3333333,583.030303,536.3636364,12.72727273,537.5757576,535.7575758,98.18181818,234.5454545
Polk,nc,42762,2469.69697,10311,1306,751,0,751,635,116,555,3330,2453,0,2453,2030,423,877,3369,2477,0,2477,2180,297,892,2306,1635,0,1635,1514,121,671,67.87878788,178.7878788,136.969697,14.54545455,136.969697,114.5454545,59.39393939,109.0909091,226.0606061,223.030303,14.54545455,223.030303,185.4545455,125.4545455,149.0909091,259.3939394,232.1212121,14.54545455,232.1212121,210.3030303,88.48484848,121.8181818,223.030303,200.6060606,14.54545455,200.6060606,184.2424242,53.33333333,122.4242424
Randolph,nc,41575,726.0606061,75728,14356,9859,0,9859,8530,1329,4497,26023,20191,0,20191,18426,1765,5832,24337,20012,32,19980,18200,1780,4325,11012,9644,56,9588,9273,315,1368,81.21212121,484.8484848,461.2121212,18.18181818,461.2121212,409.0909091,193.3333333,293.9393939,667.2727273,598.7878788,18.18181818,598.7878788,604.8484848,176.969697,297.5757576,589.6969697,589.0909091,21.81818182,584.2424242,586.6666667,204.8484848,318.7878788,434.5454545,403.030303,35.15151515,396.969697,404.2424242,63.63636364,133.3333333
Richmond,nc,31726,910.9090909,24006,4255,2038,2,2036,1463,573,2217,8634,5520,2,5518,4875,643,3114,8082,6060,68,5992,5176,816,2022,3035,2435,33,2402,2278,124,600,103.030303,227.2727273,204.2424242,2.424242424,204.2424242,191.5151515,99.39393939,203.030303,375.1515152,318.1818182,2.424242424,318.1818182,288.4848485,109.0909091,198.7878788,347.2727273,315.1515152,51.51515152,304.2424242,301.8181818,121.2121212,156.3636364,256.3636364,218.1818182,38.18181818,221.8181818,213.3333333,41.81818182,122.4242424
Robeson,nc,30167,615.7575758,67994,17654,8719,0,8719,7442,1277,8935,22105,14234,54,14180,12528,1652,7871,19402,14076,111,13965,12826,1139,5326,8833,7634,23,7611,7307,304,1199,70.3030303,475.1515152,369.6969697,18.18181818,369.6969697,361.8181818,138.1818182,435.7575758,558.7878788,444.8484848,28.48484848,446.6666667,438.1818182,172.1212121,446.0606061,545.4545455,421.8181818,96.36363636,414.5454545,394.5454545,136.3636364,323.030303,390.3030303,386.0606061,17.57575758,384.8484848,380,86.06060606,132.1212121
Rockingham,nc,38004,660,50265,9026,4935,0,4935,3879,1056,4091,17387,12729,30,12699,11131,1568,4658,16823,13753,49,13704,12405,1299,3070,7029,5691,0,5691,5483,208,1338,68.48484848,400,288.4848485,18.18181818,288.4848485,258.7878788,162.4242424,292.1212121,490.3030303,479.3939394,21.81818182,480,490.3030303,170.9090909,244.8484848,475.1515152,455.7575758,27.27272727,458.1818182,427.8787879,174.5454545,192.7272727,336.3636364,293.3333333,18.18181818,293.3333333,282.4242424,55.15151515,184.8484848
Rowan,nc,41561,641.2121212,72837,12403,6875,0,6875,5634,1241,5528,23223,17113,0,17113,14765,2348,6110,24299,19289,39,19250,17678,1572,5010,12912,11030,11,11019,10696,323,1882,90.3030303,499.3939394,372.1212121,18.18181818,372.1212121,346.0606061,158.7878788,325.4545455,494.5454545,427.8787879,18.18181818,427.8787879,395.7575758,228.4848485,282.4242424,538.7878788,485.4545455,26.66666667,487.2727273,495.7575758,174.5454545,240,490.3030303,461.2121212,10.90909091,460.6060606,444.2424242,69.09090909,167.8787879
Rutherford,nc,35941,1016.363636,35421,5422,2679,0,2679,2028,651,2743,10937,7684,0,7684,6419,1265,3253,13146,9637,13,9624,8506,1118,3509,5916,4754,15,4739,4527,212,1162,58.78787879,386.0606061,219.3939394,18.18181818,219.3939394,190.3030303,118.1818182,292.1212121,390.3030303,312.7272727,18.18181818,312.7272727,281.2121212,164.2424242,255.1515152,448.4848485,377.5757576,11.51515152,376.969697,384.8484848,160.6060606,285.4545455,320,317.5757576,13.93939394,319.3939394,306.0606061,50.3030303,122.4242424
Sampson,nc,37447,987.2727273,33030,7472,4804,0,4804,3853,951,2668,10760,8137,31,8106,7573,533,2623,10161,8083,32,8051,7555,496,2078,4637,4065,18,4047,3853,194,572,53.93939394,324.2424242,282.4242424,18.18181818,282.4242424,264.8484848,156.3636364,213.9393939,396.3636364,358.1818182,18.78787879,358.1818182,359.3939394,92.12121212,173.9393939,332.1212121,298.7878788,16.36363636,300.6060606,290.3030303,85.45454545,158.1818182,282.4242424,288.4848485,16.36363636,287.2727273,286.6666667,53.33333333,92.12121212
Scotland,nc,30472,1197.575758,18712,3373,944,0,944,578,366,2429,6925,4351,0,4351,3797,554,2574,5667,4193,16,4177,3698,479,1474,2747,2225,0,2225,2072,153,522,66.66666667,258.7878788,129.6969697,16.36363636,129.6969697,88.48484848,97.57575758,221.2121212,294.5454545,280,16.36363636,280,286.6666667,94.54545455,224.2424242,273.3333333,224.8484848,12.72727273,224.8484848,192.7272727,96.36363636,137.5757576,230.9090909,209.6969697,16.36363636,209.6969697,209.0909091,53.93939394,91.51515152
Stanly,nc,43256,1248.484848,31575,5039,3203,0,3203,2508,695,1836,10398,7807,0,7807,6838,969,2591,10599,8592,0,8592,7922,670,2007,5539,4762,6,4756,4516,240,777,69.6969697,284.8484848,221.2121212,18.18181818,221.2121212,184.2424242,124.8484848,162.4242424,335.7575758,305.4545455,18.18181818,305.4545455,300,126.6666667,179.3939394,340.6060606,335.1515152,18.18181818,335.1515152,337.5757576,103.030303,184.2424242,315.7575758,312.7272727,4.242424242,312.1212121,309.6969697,68.48484848,110.3030303
Stokes,nc,42476,1614.545455,25754,3950,2219,0,2219,1905,314,1731,10196,7510,0,7510,6879,631,2686,8171,6570,0,6570,6041,529,1601,3437,3054,0,3054,2923,131,383,92.72727273,312.7272727,216.969697,16.36363636,216.969697,184.8484848,80,201.8181818,378.7878788,350.3030303,16.36363636,350.3030303,330.3030303,103.6363636,200.6060606,327.2727273,292.1212121,16.36363636,292.1212121,286.0606061,104.2424242,152.1212121,255.7575758,224.2424242,16.36363636,224.2424242,220.6060606,49.6969697,86.06060606
Surry,nc,36137,880.6060606,38701,8085,4539,0,4539,3871,668,3546,11128,8183,31,8152,7489,663,2945,13239,10548,2,10546,9805,741,2691,6249,5388,0,5388,5174,214,861,69.09090909,356.969697,227.8787879,18.18181818,227.8787879,197.5757576,133.3333333,301.8181818,441.2121212,385.4545455,28.48484848,384.8484848,365.4545455,101.8181818,195.7575758,452.7272727,401.8181818,2.424242424,401.8181818,383.6363636,112.1212121,181.8181818,283.030303,266.0606061,18.18181818,266.0606061,260,56.96969697,104.2424242
Swain,nc,43426,2475.757576,7293,1156,732,0,732,595,137,424,2000,1258,4,1254,1117,137,742,2674,1657,17,1640,1523,117,1017,1463,1254,0,1254,1221,33,209,110.9090909,150.9090909,140,12.12121212,140,134.5454545,81.81818182,70.90909091,180.6060606,166.0606061,6.666666667,167.2727273,173.3333333,52.12121212,94.54545455,190.3030303,182.4242424,15.75757576,184.8484848,183.6363636,47.27272727,126.6666667,161.8181818,142.4242424,12.12121212,142.4242424,136.969697,32.12121212,66.06060606
Transylvania,nc,40678,1500.606061,15717,1506,965,0,965,844,121,541,4802,3587,0,3587,3268,319,1215,5323,3848,0,3848,3652,196,1475,4086,3174,0,3174,3007,167,912,112.7272727,189.0909091,147.8787879,16.36363636,147.8787879,151.5151515,44.84848485,101.2121212,308.4848485,278.1818182,16.36363636,278.1818182,243.030303,109.6969697,180,266.0606061,258.1818182,16.36363636,258.1818182,264.2424242,73.93939394,181.2121212,307.2727273,261.8181818,16.36363636,261.8181818,255.7575758,73.33333333,147.2727273
Tyrrell,nc,33605,2213.333333,2677,736,336,0,336,289,47,400,931,540,0,540,380,160,391,758,539,0,539,470,69,219,252,188,0,188,188,0,64,103.030303,101.8181818,79.39393939,7.878787879,79.39393939,76.96969697,26.06060606,76.96969697,87.27272727,86.66666667,7.878787879,86.66666667,63.03030303,53.93939394,72.12121212,92.12121212,79.39393939,7.878787879,79.39393939,72.72727273,43.63636364,56.96969697,63.03030303,51.51515152,7.878787879,51.51515152,51.51515152,7.878787879,29.09090909
Union,nc,64953,989.0909091,106248,12026,8070,22,8048,6800,1248,3956,26181,20509,31,20478,18787,1691,5672,32637,26937,27,26910,24481,2429,5700,35404,30418,36,30382,29332,1050,4986,92.72727273,449.0909091,412.7272727,23.03030303,414.5454545,403.030303,165.4545455,295.1515152,626.0606061,568.4848485,21.21212121,570.3030303,555.1515152,202.4242424,335.7575758,852.7272727,772.7272727,17.57575758,770.3030303,767.8787879,208.4848485,318.7878788,804.2424242,772.1212121,22.42424242,772.1212121,730.9090909,149.6969697,289.0909091
Vance,nc,34499,1347.272727,23114,4957,2716,0,2716,2274,442,2241,8462,5469,0,5469,4920,549,2993,6963,5402,29,5373,4966,407,1561,2732,2352,0,2352,2258,94,380,89.09090909,283.6363636,242.4242424,16.36363636,242.4242424,219.3939394,138.1818182,212.1212121,340.6060606,311.5151515,16.36363636,311.5151515,284.8484848,101.8181818,273.9393939,361.2121212,296.969697,19.39393939,294.5454545,283.6363636,73.33333333,182.4242424,205.4545455,209.6969697,16.36363636,209.6969697,202.4242424,40.60606061,72.12121212
Wake,nc,65826,479.3939394,505930,37109,25340,14,25326,22364,2962,11769,79158,61314,87,61227,54641,6586,17844,137571,114475,394,114081,105520,8561,23096,252092,218609,338,218271,209691,8580,33483,120,909.0909091,834.5454545,13.33333333,835.7575758,772.1212121,328.4848485,546.0606061,1427.878788,1213.939394,48.48484848,1215.151515,1131.515152,450.3030303,645.4545455,1630.909091,1565.454545,81.81818182,1561.212121,1403.636364,504.2424242,744.8484848,2039.393939,1853.939394,82.42424242,1851.515152,1732.121212,421.8181818,781.8181818
Warren,nc,34803,1858.787879,10821,2288,701,0,701,587,114,1587,3614,1993,0,1993,1833,160,1621,3279,2536,17,2519,2319,200,743,1640,1159,0,1159,1078,81,481,61.81818182,232.7272727,103.6363636,14.54545455,103.6363636,93.33333333,41.21212121,207.2727273,245.4545455,193.9393939,14.54545455,193.9393939,176.3636364,45.45454545,164.8484848,202.4242424,196.3636364,16.36363636,193.3333333,184.2424242,47.27272727,108.4848485,148.4848485,106.0606061,14.54545455,106.0606061,113.3333333,37.57575758,119.3939394
Washington,nc,33718,2248.484848,6531,859,392,0,392,322,70,467,2494,1674,0,1674,1346,328,820,2422,1895,0,1895,1616,279,527,756,599,0,599,599,0,157,99.39393939,109.6969697,86.66666667,12.12121212,86.66666667,74.54545455,31.51515152,98.18181818,156.3636364,144.8484848,12.12121212,144.8484848,135.1515152,86.66666667,138.7878788,164.2424242,141.2121212,12.12121212,141.2121212,133.3333333,84.24242424,81.81818182,123.6363636,103.6363636,12.12121212,103.6363636,103.6363636,12.12121212,49.6969697
