"","Geo_FIPS","Commute"
"278",23023990000,NA
"279",23025965301,12
"280",23025965302,23
"281",23025965600,33
"282",23025965700,30
"283",23025965800,29
"284",23025965900,28
"285",23025966000,22
"286",23025966100,30
"287",23025966200,25
"288",23025966300,39
"289",23025966400,26
"290",23025966500,25
"291",23025966600,25
"292",23025966700,22
"293",23025966800,19
"294",23025966900,25
"295",23025967000,33
"296",23027041000,29
"297",23027042000,29
"298",23027043000,17
"299",23027044000,23
"300",23027045000,29
"301",23027046001,36
"302",23027046002,28
"303",23027047000,28
"304",23029955100,26
"305",23029955300,23
"306",23029955400,13
"307",23029955500,16
"308",23029955600,23
"309",23029955700,14
"310",23029955800,26
"311",23029955900,29
"312",23029956100,16
"313",23029956200,14
"314",23029956300,16
"315",23029956400,27
"316",23029956500,23
"317",23029990000,NA
"318",23031005100,24
"319",23031005200,22
"320",23031005300,24
"321",23031005400,28
"322",23031006101,32
"323",23031006102,26
"324",23031020000,30
"325",23031021000,31
"326",23031022000,35
"327",23031022500,41
"328",23031023000,38
"329",23031023500,37
"330",23031024000,39
"331",23031024500,28
"332",23031025100,22
"333",23031025201,23
"334",23031025202,24
"335",23031025300,25
"336",23031025400,25
"337",23031026000,25
"338",23031027000,29
"339",23031028001,26
"340",23031028002,24
"341",23031029000,33
"342",23031030100,29
"343",23031030201,31
"344",23031030202,29
"345",23031030203,30
"346",23031030300,29
"347",23031031000,31
"348",23031032000,26
"349",23031033000,30
"350",23031034001,28
"351",23031034002,29
"352",23031035000,29
"353",23031036001,29
"354",23031036002,25
"355",23031037000,24
"356",23031038001,23
"357",23031038002,23
"358",23031990100,NA
