Curriculum:,Spring,2017,as of,2/21/2017 7:45,,,,,,,,
Course,Section,Cr,Days,Times,Title,DistReq,Diversity,Room,Reg,Max,Exam,Faculty
AA258,A,4,TR,11:00am-12:15pm,"Anthropology, History, Memory (See AY258)",, , ,0, , ,Bhimull    
AA276,A,4,TR, 9:30am-10:45am,African-American Culture in the United States (See AM276),S,U , ,0, , ,Gilkes     
AA333,A,4,R, 1:00pm- 3:30pm,Contemporary Theory (See AY333),, , ,0, , ,Bhimull    
AA342,A,4,T, 7:00pm- 9:30pm,Crisis and Reform: American Society and Politics in the 1960s (See HI342),H, , ,0, , ,Weisbrot   
AA354,A,4,MWF,10:00am-10:50am,Slavery and the American Literary Imagination (See EN354),L,U , ,0, , ,Bryant     
AA357,A,4,T, 1:00pm- 3:30pm,"Civil Rights, Black Power, and Social Change (See SO357)",, , ,0, , ,Gilkes     
AA361,A,4,MW, 2:30pm- 3:45pm,"Creolization, Culture, and Society in the Indian Ocean Islands (See FR361)",,I , ,0, , ,Mauguiere  
AA421,A,4,T, 1:00pm- 3:30pm,Anthropology of Creativity (See AY421),, , ,0, , ,Bhimull    
AA455,A,4,M, 1:00pm- 3:30pm,Seminar: Conflict and Crisis in Africa (See GO455),,I , ,0, , ,Seay       
AM171,A,4,MW,11:00am-12:15pm,Introduction to American Studies,, ,MILL 008,25,24,0,Lisle      
AM217,A,4,TR,11:00am-12:15pm,Religion in the United States (See RE217),H, , ,0, , ,"Campbell,D "
AM221,A,4,W, 1:00pm- 3:30pm,Mapping Waterville,H, ,MILL 205,8,15,0,Lisle      
AM232,A,4,TR,11:00am-12:15pm,Queer Identities and Politics (See WG232),,U , ,0, , ,Arellano   
AM234,A,4,MW, 2:30pm- 3:45pm,From Rockabilly Kings to Lady Gaga: A History of Rock 'n' Roll (See MU234),A, , ,0, , ,Zelensky   
AM276,A,4,TR, 9:30am-10:45am,African-American Culture in the United States,S,U ,LOVE 100,43,60,5,Gilkes     
AM285,A,4,TR, 9:30am-10:45am,History of Photography (See AR285),A, , ,0, , ,Saltz      
AM357,A,4,T, 1:00pm- 3:30pm,"Civil Rights, Black Power, and Social Change (See SO357)",S,U , ,0, , ,Gilkes     
AM358,A,4,M, 1:00pm- 3:30pm,Photography and Migration (See AR358),,U , ,0, , ,Sheehan    
AM375,A,4,TR, 1:00pm- 2:15pm,Representing Difference in American Visual Culture,,U ,MILL 253,9,15,1,Saltz      
AM493C,A,4,M, 1:00pm- 3:30pm,"Seminar: Space, Culture, and Neoliberalism",, ,MILL 253,7,12,0,Lisle      
AN154,A,3 to 4,TR, 9:30am-10:45am,Roman History,H, ,LOVE 208,30,30,5,"Roisman, J "
AN234,A,4,TR, 1:00pm- 2:15pm,In Search of a Strong Man: Greece in the Fourth Century (See CL234),H,I , ,0, , ,"Roisman, J "
AR101,A,4,TR, 2:30pm- 3:45pm,Reading Images,, ,RUNN 203,16,16,0,"Alvarez, M "
AR131,A,4,MW,11:00am-12:50pm,Introduction to Studio Art,A, ,BIXL 283,16,16,0,Mitchell   
AR131,B,4,TR,11:00am-12:50pm,Introduction to Studio Art,A, ,BIXL 283,15,16,0,Reed       
AR227,A,4,TR, 9:30am-10:45am,History of Architecture I: From Pyramids to Cathedrals,A, ,BIXL 154,26,25,5,Ameri      
AR232,A,4,MW, 2:30pm- 3:45pm,"Latin American Art and Architecture, 1820-Present",A,I ,BIXL 154,14,25,6,"Alvarez, M "
AR235,A,4,MW, 2:00pm- 3:50pm,Intaglio Printmaking,, ,BIXL 302,10,16,0,Reed       
AR242,A,4,TR, 2:00pm- 3:50pm,Painting II,, ,BIXL 250,9,16,0,"Engman, B  "
AR265,A,4,MW,11:00am-12:50pm,Sculpture I,, ,BIXL 117,16,16,0,Stigora    
AR265,B,4,MW, 2:00pm- 3:50pm,Sculpture I,, ,BIXL 117,15,16,0,Stigora    
AR274,A,4,MWF, 9:00am- 9:50am,"East Asian Art and Architecture,1300 to the Present",A, ,BIXL 154,19,25,9,Weitz      
AR276,A,4,MWF,11:00am-11:50am,Zen and the Arts in Asia,A, ,BIXL 154,21,25,3,Weitz      
AR279,A,4,TR,11:00am-12:15pm,20th-Century Art,A, ,BIXL 154,25,25,2,Harkett    
AR282,A,4,TR,11:00am-12:50pm,Photography II,, ,BIXL 278,10,12,0,Green      
AR285,A,4,TR, 9:30am-10:45am,History of Photography,A, ,RUNN 203,22,23,5,Saltz      
AR323,A,4,TR, 1:00pm- 2:15pm,Destroying Culture: Iconoclasm,,I ,BIXL 102,7,16,0,Ameri      
AR325,A,4,W, 1:00pm- 3:30pm,Inside the Museum,, ,BIXL 075,10,12,6,Harkett    Lessing     
AR338,A,4,TR, 2:30pm- 3:45pm,Surrealism,, ,BIXL 154,5,16,4,Plesch     
AR341,A,4,TR,11:00am-12:50pm,Painting III,, ,BIXL 250,1,16,0,"Engman, B  "
AR342,A,4,TR,11:00am-12:50pm,Painting IV,, ,BIXL 250,2,16,0,"Engman, B  "
AR356,A,4,TR, 9:30am-10:45am,Writing Art Criticism,, ,BIXL 142,5,12,0,Harkett    
AR358,A,4,M, 1:00pm- 3:30pm,Photography and Migration,,U ,BIXL 102,9,12,0,Sheehan    
AR365,A,4,MW, 2:00pm- 3:50pm,Sculpture III,, ,BIXL 117,0,16,0,Stigora    
AR375,A,4,TR, 1:00pm- 2:15pm,Representing Difference in American Visual Culture (See AM375),,U , ,0, , ,Saltz      
AR381,A,4,TR, 2:00pm- 3:50pm,Photography III: Color and Digital Photography,, ,BIXL 278,0,12,0,Green      
AR382,A,4,TR, 2:00pm- 3:50pm,Photography IV,, ,BIXL 278,3,12,0,Green      
AR402,A,2,W, 7:00pm- 9:30pm,Studio Art Capstone,, ,BIXL 270,10,15,0,Green      
AR441,A,4,TR,11:00am-12:50pm,Painting V,, ,BIXL 250,0,16,0,"Engman, B  "
AR442,A,4,TR,11:00am-12:50pm,Painting VI,, ,BIXL 250,0,16,0,"Engman, B  "
AR443,A,4,TR,11:00am-12:50pm,Painting VII,, ,BIXL 250,0,16,0,"Engman, B  "
