Curriculum:,Spring,2017,as of,2/21/2017 7:45,,,,,,,,
AR444,A,4,TR,11:00am-12:50pm,Painting VIII,, ,BIXL 250,0,16,0,"Engman, B  "
AR452,A,4,T, 7:00pm- 9:30pm,Art of the Book in the Islamic World,, ,BIXL 102,4,12,0,Ameri      
AR466,A,4,MW, 2:00pm- 3:50pm,Sculpture VI,, ,BIXL 117,1,16,0,Stigora    
AR473,A,4,M, 7:00pm- 9:30pm,Visual Culture of Tattooing,, ,BIXL 102,10,12,0,Plesch     
AR481,A,4,TR, 2:00pm- 3:50pm,Photography V,, ,BIXL 278,3,12,0,Green      
AR482,A,4,TR, 2:00pm- 3:50pm,Photography VI,, ,BIXL 278,1,12,0,Green      
AR485,A,4,TR, 2:00pm- 3:50pm,Photography VII,, ,BIXL 278,1,12,0,Green      
AS172,A,3,MWF,11:00am-11:50am,Extraterrestrial Life,N, ,MILL 014,43,35,15,Pagano     
AS172,B,3,MWF, 1:00pm- 1:50pm,Extraterrestrial Life,N, ,MILL 014,47,35,15,Pagano     
AS231,A,4,MWF,12:00n -12:50pm,Introduction to Astrophysics,"N,Lb", ,MUDD 311,17,20,13,McGrath    
AS231,A,4,R, 1:00pm- 3:50pm,Introduction to Astrophysics,"N,Lb", ,KEYE 114,17,20,13,McGrath    
AY112,A,4,MWF, 9:00am- 9:50am,Cultural Anthropology,S,I ,DIAM 141,31,30,9,"Tate, W    "
AY112,B,4,MWF,10:00am-10:50am,Cultural Anthropology,S,I ,DIAM 141,32,30,7,Strohl     
AY112,C,4,TR,11:00am-12:15pm,Cultural Anthropology,S,I ,DIAM 145,33,30,2,ElShaarawi 
AY236,A,4,WF, 1:00pm- 2:15pm,"Illegal Drugs, Law, and the State",, ,DIAM 243,20,20,16,"Tate, W    "
AY246,A,4,WF, 2:30pm- 3:45pm,Religion and Everyday Life in Muslim Societies,,I ,DIAM 243,9,20,6,Strohl     
AY253,A,4,TR, 9:30am-10:45am,"Goods, Gifts, and Globalizing Consumers",W2, ,DIAM 323,17,18,0,Halvorson  
AY255,A,4,TR, 2:30pm- 3:45pm,"Global Health: Critical Perspectives on Health, Care, and Policy (See GS255)","S,W2", , ,0, , ,ElShaarawi 
AY258,A,4,TR,11:00am-12:15pm,"Anthropology, History, Memory",, ,DIAM 323,18,20,2,Bhimull    
AY259,A,2,W, 7:00pm- 8:15pm,Reading Ethnography,, ,DIAM 323,9,10,14,Besteman   
AY262,A,4,TR, 9:30am-10:45am,"Music in Life, Music as Culture: Introduction to Ethnomusicology (See MU262)",A,I , ,0, , ,Zelensky   
AY313,A,4,M, 1:00pm- 3:30pm,Researching Cultural Diversity,, ,DIAM 323,14,15,8,Strohl     
AY316,A,4,T, 1:00pm- 3:30pm,Religion and Social Change in Contemporary Africa,, ,DIAM 241,11,15,0,Halvorson  
AY333,A,4,R, 1:00pm- 3:30pm,Contemporary Theory,, ,DIAM 243,7,15,4,Bhimull    
AY339,A,4,WF,11:00am-12:15pm,Asian Pacific Modernities,, ,DIAM 323,6,15,0,MillsMaryB 
AY374,A,4,W, 1:00pm- 3:30pm,Public Anthropology,, ,DIAM 323,10,15,6,Besteman   
AY421,A,4,T, 1:00pm- 3:30pm,Anthropology of Creativity,, ,DIAM 323,5,12,1,Bhimull    
AY455,A,4,W, 1:00pm- 3:30pm,Intervention: The Ethics and Politics of Humanitarianism (See GS455),S, , ,0, , ,ElShaarawi 
AY464,A,4,R, 1:00pm- 3:30pm,Anthropology of Food,, ,DIAM 323,9,12,0,MillsMaryB 
BC368,A,4 to 5,TR, 9:30am-10:45am,Biochemistry of the Cell II,, ,KEYE 103,19,36,5,Millard    
BC368,A,4 to 5,F,12:00n -12:50pm,Biochemistry of the Cell II,, ,LOVE 215,19,36,5,Millard    
BC368 L,A,,T,12:30pm- 4:30pm,Lab: Cell Biochemistry,, ,KEYE 303,10,12, ,Millard    
BC368 L,B,,R,12:30pm- 4:30pm,Lab: Cell Biochemistry,, ,KEYE 303,7,12, ,Beachy     
BC378,A,4,MWF,10:00am-10:50am,Molecular Biology,, ,OLIN 234,14,16,7,Johnson    
BC378,A,4,W, 1:00pm- 4:00pm,Molecular Biology,, ,AREY 205,14,16,7,Johnson    
BI133,A,4,TR,11:00am-12:15pm,Microorganisms and Society,"N,Lb", ,AREY 005,32,32,2,Fekete     
BI133 L,A,,T, 1:00pm- 4:00pm,Lab: Microorgn & Society,, ,AREY 307,16,16, ,Childers   
BI133 L,B,,R, 1:00pm- 4:00pm,Lab: Microorgn & Society,, ,AREY 307,16,16, ,Childers   
BI164,A,4,MWF, 9:00am- 9:50am,Evolution and Diversity,"N,Lb", ,OLIN 001,67,48,12,"Stone, J.  "
BI164,B,4,MWF,11:00am-11:50am,Evolution and Diversity,"N,Lb", ,OLIN 001,68,48,12,"Stone, J.  "
BI164 L,A1,,M, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 201,14,16, ,Staffiere  
BI164 L,A2,,M, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 202,16,16, ,Bade       
BI164 L,B1,,T, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 201,14,16, ,Staffiere  
BI164 L,B2,,T, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 202,15,16, ,Bade       
BI164 L,B3,,T, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 207,12,16, ,Guay       
BI164 L,C1,,W, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 202,13,16, ,Chiriboga  
BI164 L,C2,,W, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 201,11,16, ,Childers   
BI164 L,D1,,R, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 201,12,16, ,Staffiere  
BI164 L,D2,,R, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 202,14,16, ,Bade       
BI164 L,E,,F, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 202,14,16, ,Bade       
BI225,A,3,MWF, 9:00am- 9:50am,Immunology,, ,LOVE 205,33,32,9,Hannum     
BI227,A,4,MWF,10:00am-10:50am,Cell Biology,, ,LOVE 303,16,32,7,Moloney    
BI227 L,A,,T, 1:00pm- 4:00pm,Lab: Cell Biology,, ,AREY 305,12,16, ,Moloney    
BI227 L,B,,W, 1:00pm- 4:00pm,Lab: Cell Biology,, ,AREY 305,4,16, ,Moloney    
BI274,A,4,MWF,12:00n -12:50pm,Neurobiology,, ,DIAM 153,19,28,13,Ahmad      
BI274 L,A,,T, 1:00pm- 4:00pm,Laboratory: Neurobiology,, ,OLIN 332,10,14, ,Chiriboga  
BI274 L,B,,R, 1:00pm- 4:00pm,Laboratory: Neurobiology,, ,OLIN 332,9,14, ,Chiriboga  
BI275,A,4,MWF, 9:00am- 9:50am,Human Physiology,, ,KEYE 103,14,36,9,Klepach    
BI275 L,A,,M, 1:00pm- 4:00pm,Lab: Human Physiology,, ,OLIN 213,9,12, ,Guay       
BI275 L,B,,R, 1:00pm- 4:00pm,Lab: Human Physiology,, ,OLIN 213,5,12, ,Guay       
BI278,A,4,MWF,12:00n -12:50pm,Biomedical Genomics and Bioinformatics,, ,MILL 205,16,12,13,Tilden     
BI278,A,4,R, 1:00pm- 4:00pm,Biomedical Genomics and Bioinformatics,, ,MILL 205,16,12,13,Tilden     
BI279,A,4,MWF,11:00am-11:50am,Genetics,, ,OLIN 234,21,24,3,Angelini   
BI279 L,A,,T, 1:00pm- 4:00pm,Laboratory: Genetics,, ,AREY 001,10,12, ,Beachy     
BI279 L,B,,W, 1:00pm- 4:00pm,Laboratory: Genetics,, ,AREY 001,11,12, ,Angelini   
BI298,A,3,TR,11:00am-12:15pm,Principles of Evolution,, ,MUDD 405,10,24,2,McKeon     
BI348,A,3,TR, 9:30am-10:45am,Pathogenic Bacteriology,, ,AREY 005,8,18,5,Fekete     
BI352,A,4,MWF, 9:00am- 9:50am,Advanced and Applied Ecology (See ES352),, , ,0, , ,McDowell   
BI352,A,4,M, 1:00pm- 4:00pm,Advanced and Applied Ecology (See ES352),, , ,0, , ,McDowell   
BI356,A,4,MWF,11:00am-11:50am,Aquatic Ecology (See ES356),, , ,0, , ,Bruesewitz 
BI356,A,4,W, 1:00pm- 4:00pm,Aquatic Ecology (See ES356),, , ,0, , ,Bruesewitz 
BI366,A,4,TR, 9:30am-10:45am,The Environment and Human Health (See ES366),N, , ,0, , ,Carlson    
BI368,A,4 to 5,TR, 9:30am-10:45am,Biochemistry of the Cell II (See BC368),, , ,0, , ,Millard    
BI368,A,4 to 5,F,12:00n -12:50pm,Biochemistry of the Cell II (See BC368),, , ,0, , ,Millard    
BI373,A,3 to 4,MWF,11:00am-11:50am,Animal Behavior,, ,MUDD 405,15,32,3,McKeon     
BI373 L,A,,W, 1:00pm- 4:00pm,Lab: Animal Behavior,, ,OLIN 314,6,6, ,McKeon     
BI374,A,3 to 4,TR, 9:30am-10:45am,Advanced Neurobiology,, ,DAVI 201,14,16,5,Martin     
BI374 L,A,,M, 1:00pm- 4:00pm,Optional Lab: Advanced Neurobiology,, ,OLIN 332,8,16, ,Martin     
BI376,A,3,TR,11:00am-12:15pm,"Development, Genes, and Evolution",, ,MILL 205,12,15,0,Angelini   
BI378,A,4,MWF,10:00am-10:50am,Molecular Biology (See BC378),, , ,0, , ,Johnson    
BI378,A,4,W, 1:00pm- 4:00pm,Molecular Biology (See BC378),, , ,0, , ,Johnson    
BI402,A,1,F, 1:00pm- 1:50pm,Biology Seminar (Applied Microbiology),, ,LOVE 318,10,12, ,Fekete     
BI402,B,1,F, 1:00pm- 1:50pm,Biology Seminar (Molecular Biology of Viruses),, ,OLIN 335,12,12, ,Peck       
BI402,C,1,F, 1:00pm- 1:50pm,Biology Seminar (Sustainable Agriculture),, ,OLIN 234,5,12, ,Johnson    
BI451,A,4,MWF,11:00am-11:50am,Applied and Environmental Microbiology,, ,OLIN 335,9,12,3,Peck       
BI451,A,4,R, 1:00pm- 5:00pm,Applied and Environmental Microbiology,, ,AREY 207,9,12,3,Peck       
CH142,A,4,MWF, 9:00am- 9:50am,General Chemistry II,"N,Lb", ,KEYE 105,35,54,16,Rice       
CH142,B,4,MWF,10:00am-10:50am,General Chemistry II,"N,Lb", ,KEYE 105,53,54,16,Rice       
CH142 L,A,,M, 1:00pm- 3:50pm,Laboratory: General Chem,, ,KEYE 405,17,18, ,Katz       
CH142 L,B,,T, 1:00pm- 3:50pm,Laboratory: General Chem,, ,KEYE 405,18,18, ,"Miller, L  "
CH142 L,C,,W, 1:00pm- 3:50pm,Laboratory: General Chem,, ,KEYE 405,18,18, ,"Miller, L  "
CH142 L,D,,R, 1:00pm- 3:50pm,Laboratory: General Chem,, ,KEYE 405,18,18, ,"Miller, L  "
CH142 L,E,,F, 1:00pm- 3:50pm,Laboratory: General Chem,, ,KEYE 405,17,18, ,"Miller, L  "
CH144,A,1,T, 7:00pm- 9:00pm,Turbo Chemistry,, ,KEYE 103,12,12, ,King       
CH147,A,4,MWF, 9:00am- 9:50am,Comprehensive General Chemistry,"N,Lb", ,AREY 005,15,32,9,Conry      
CH147 L,A,,W, 1:00pm- 1:50pm,Lab: Comprehnsv Gen Chem,, ,KEYE 103,6,16, ,Hepburn    
CH147 L,A,,W, 1:55pm- 4:00pm,Lab: Comprehnsv Gen Chem,, ,KEYE 409,6,16, ,Hepburn    
CH147 L,B,,R, 1:00pm- 1:50pm,Lab: Comprehnsv Gen Chem,, ,KEYE 103,9,16, ,Hepburn    
CH147 L,B,,R, 1:55pm- 4:00pm,Lab: Comprehnsv Gen Chem,, ,KEYE 409,9,16, ,Hepburn    
CH217,A,4,TR,11:00am-12:15pm,Environmental Chemistry,, ,KEYE 105,11,24,2,King       
CH242,A,4,MWF, 9:00am- 9:50am,Organic Chemistry II,, ,MILL 014,25,40,16,Thamattoor 
CH242,B,4,MWF,10:00am-10:50am,Organic Chemistry II,, ,MILL 014,30,40,16,Thamattoor 
CH242 L,A,,M, 1:00pm- 4:45pm,Lab: Organic Chem II,, ,KEYE 305,12,16, ,Klinkerch  
CH242 L,B,,T, 1:00pm- 4:45pm,Lab: Organic Chem II,, ,KEYE 305,16,16, ,Thamattoor 
CH242 L,C,,W, 1:00pm- 4:45pm,Lab: Organic Chem II,, ,KEYE 305,11,16, ,Klinkerch  
CH242 L,D,,R, 1:00pm- 4:45pm,Lab: Organic Chem II,, ,KEYE 305,15,16, ,Klinkerch  
CH332,A,4,MWF, 9:00am- 9:50am,Instrumental Methods of Analysis,, ,KEYE 104,3,12,0,King       
CH332,A,4,T, 1:00pm- 4:50pm,Instrumental Methods of Analysis,, ,KEYE 205,3,12,0,King       
CH342,A,5,MWF, 8:00am- 8:50am,Physical Chemistry: Quantum and Statistical Mechanics,, ,KEYE 103,11,12,10,Shattuck   
CH342,A,5,F, 2:00pm- 2:50pm,Physical Chemistry: Quantum and Statistical Mechanics,, ,KEYE 103,11,12,10,Shattuck   
CH342,A,5,M, 1:00pm- 4:50pm,Physical Chemistry: Quantum and Statistical Mechanics,, ,KEYE 205,11,12,10,Shattuck   
CH368,A,4 to 5,TR, 9:30am- 1:45am,Biochemistry of the Cell II (See BC368),, , ,0, , ,Millard    
CH368,A,4 to 5,F,12:00n -12:50pm,Biochemistry of the Cell II (See BC368),, , ,0, , ,Millard    
CH378,A,4,MWF,10:00am-10:50am,Molecular Biology (See BC378),, , ,0, , ,Johnson    
CH378,A,4,W, 1:00pm- 4:00pm,Molecular Biology (See BC378),, , ,0, , ,Johnson    
CH432,A,4,TR,11:00am-12:15pm,Advanced Organic Chemistry,, ,KEYE 104,4,10,2,Katz       
CH434,A,4,TR, 9:30am-10:45am,Symmetry and Spectroscopy,, ,KEYE 104,2,8,5,Conry      
CH444,A,4,M, 1:00pm- 3:30pm,Advanced Methods in Biochemistry,W3, ,KEYE 104,6,12,8,Rice       
CH494,A,1,F,11:00am-11:50am,Senior Seminar,, ,DIAM 141,18,30, ,Conry      Katz        
CH494,A,1,F, 3:00pm- 4:30pm,Senior Seminar,, ,KEYE 105,18,30, ,Conry      Katz        
CH494,B,1,F,11:00am-11:50am,Senior Seminar (for Juniors),, ,DIAM 141,0,30, ,Conry      Katz        
CH494,B,1,F, 3:00pm- 4:30pm,Senior Seminar (for Juniors),, ,KEYE 105,0,30, ,Conry      Katz        
CI142,A,4,TR,11:00am-12:15pm,Introduction to Cinema Studies,A, ,LOVE 215,24,25,0,Wessels    
CI142,A,4,T, 7:00pm-10:00pm,Introduction to Cinema Studies,A, ,AREY 005,24,25,0,Wessels    
CI142,B,4,TR, 1:00pm- 2:15pm,Introduction to Cinema Studies,A, ,AREY 005,23,25,0,Wessels    
CI142,B,4,T, 7:00pm-10:00pm,Introduction to Cinema Studies,A, ,AREY 005,23,25,0,Wessels    
CI280,A,4,TR, 2:30pm- 3:45pm,Topics in Global Cinema: The Global Western,, ,MILL 253,13,20,0,Wessels    
CI280,A,4,W, 7:00pm-10:00pm,Topics in Global Cinema: The Global Western,, ,AREY 005,13,20,0,Wessels    
CL234,A,4,TR, 1:00pm- 2:15pm,In Search of a Strong Man: Greece in the Fourth Century,H,I ,LOVE 212,19,30,1,"Roisman, J "
CL244,A,4,MW, 2:30pm- 3:45pm,Myth and Archaeology,L, ,LOVE 100,88,105,6,O'Neill    
CN126,A,5,MTWRF, 9:00am- 9:50am,Elementary Chinese II,, ,LOVE 207,9,20,9,"Lu, H-C    "
CN128,A,4,MTWR,10:00am-10:50am,Intermediate Chinese II,, ,LOVE 119,12,20,7,"Wang, F    "
CN135,A,1,F,10:00am-10:50am,Chinese Conversation I,, ,LOVE 103,4,20, ,You        
CN322,A,4,MWF,11:00am-11:50am,Third-Year Chinese II,, ,LOVE 344,11,20,3,"Lu, H-C    "
CN335,A,1,R, 7:00pm- 8:00pm,Chinese Conversation III,, ,LOVE 319,4,18, ,You        
CN498,A,4,TR, 1:00pm- 2:15pm,Talking about Contemporary China,, ,LOVE 423,5,15,1,"Wang, F    "
CS151,A,4,MWF,10:00am-10:50am,Computational Thinking: Visual Media,Q, ,LOVE 215,44,45,7,"Taylor, St "
CS151 L,A,,W, 1:00pm- 2:20pm,Lab: Comp Thnkg: Visual,, ,DAVI 102,21,23, ,"Li, Ying   "
CS151 L,B,,R, 2:30pm- 3:50pm,Lab: Comp Thnkg: Visual,, ,DAVI 102,23,23, ,"Li, Ying   "
CS152,A,4,MWF,11:00am-11:50am,Computational Thinking: Science,Q, ,LOVE 208,23,45,3,Skrien     
CS152 L,A,,W, 2:30pm- 3:50pm,Lab: Comp Thkg: Science,, ,DAVI 102,9,23, ,"Taylor, St "
CS152 L,B,,R, 1:00pm- 2:20pm,Lab: Comp Thkg: Science,, ,DAVI 102,14,23, ,"Taylor, St "
CS231,A,4,MWF,10:00am-10:50am,Data Structures and Algorithms,Q, ,LOVE 205,36,25,7,Codabux    
CS231 L,A,,M, 2:30pm- 3:50pm,Lab: Data Struct/Algrthm,, ,DAVI 102,17,20, ,"Li, Ying   "
CS231 L,B,,T, 1:00pm- 2:20pm,Lab: Data Struct/Algrthm,, ,DAVI 102,19,20, ,"Li, Ying   "
CS251,A,4,MWF, 8:00am- 8:50am,Data Analysis and Visualization,, ,DAVI 117,19,15,9,Maxwell    
CS251,B,4,MWF, 9:00am- 9:50am,Data Analysis and Visualization,, ,LOVE 215,35,30,9,"Taylor, St "
CS251 L,A,,M, 1:00pm- 2:20pm,Lab: Data Analysis/Vis,, ,DAVI 102,18,20, ,Maxwell    
CS251 L,B,,T, 1:00pm- 2:20pm,Lab: Data Analysis/Vis,, ,DAVI 122,16,16, ,Codabux    
CS251 L,C,,T, 2:30pm- 3:50pm,Lab: Data Analysis/Vis,, ,DAVI 102,20,20, ,Codabux    
CS325,A,4,MWF,11:00am-11:50am,Web Programming,, ,LOVE 205,25,25,3,Codabux    
CS351,A,4,MWF,11:00am-11:50am,Computer Graphics,, ,DAVI 117,7,10,3,Maxwell    
CS363,A,4,TR, 8:00am- 9:15am,Robotics,, ,DAVI 117,16,25,4,Maxwell    
CS363 L,A,,R, 1:00pm- 2:20pm,Lab: Robotics,, ,DAVI 122,12,15, ,Maxwell    
CS363 L,B,,R, 2:30pm- 3:50pm,Lab: Robotics,, ,DAVI 122,4,15, ,Maxwell    
CS375,A,4,MW, 1:00pm- 2:15pm,Analysis of Algorithms,, ,DAVI 301,32,45,8,Skrien     
CS398,A,4,MWF,12:00n -12:50pm,Cryptography (See MA398),, , ,0, , ,Krumm      
CS431,A,4,TR, 9:30am-10:45am,Advanced Computer Networks,, ,DAVI 117,10,20,0,"Li, Ying   "
CS461,A,4,TR,11:00am-12:15pm,Object-Oriented Software Systems,, ,DAVI 117,22,25,2,Skrien     
EA150,A,4,MW,11:00am-12:15pm,Foundations in East Asian Studies,H,I ,LOVE 203,18,18,3,LaCouture  
EA221,A,4,MW, 1:00pm- 2:15pm,Second Language Pedagogy,, ,LOVE 119,21,20,0,"Wang, F    "
EA250,A,4,TR,11:00am-12:15pm,History of Modern China: Everyday Life and Revolution (See HI250),H,I , ,0, , ,LaCouture  
EA252,A,4,MW, 2:30pm- 3:45pm,Hell on Earth? Chinese Writers on Modern Chinese Society,L,I ,LOVE 208,18,18,6,Besio      
EA274,A,4,MWF, 9:00am- 9:50am,"Survey of East Asian Art, 1300 to the Present (See AR274)",A, , ,0, , ,Weitz      
EA275,A,4,TR, 2:30pm- 3:45pm,"Cultured Tough Guys: Samurai Devotion, Music, Poetry, and Art (See MU275)",A, , ,0, , ,Nuss       
EA276,A,4,MWF,11:00am-11:50am,Zen and the Arts in Asia (See AR276),A, , ,0, , ,Weitz      
EA339,A,4,WF,11:00am-12:15pm,Asian Pacific Modernities (See AY339),, , ,0, , ,MillsMaryB 
EA352,A,4,R, 1:00pm- 3:30pm,Asian Migrations (See HI352),H,I , ,0, , ,LaCouture  
EA358,A,4,TR, 2:30pm- 3:45pm,Political Economy of Regionalism (See GO357),, , ,0, , ,Hatch      
EA498,A,4,W, 1:00pm- 3:30pm,"Seminar: Islands, Nukes, and Memories: Conflict in East Asia (See GO498B)",, , ,0, , ,Hatch      
EC121,A,4,MWF, 9:00am- 9:50am,Financial Accounting,, ,LOVE 213,34,35,17,Downs      
EC121,B,4,MWF,10:00am-10:50am,Financial Accounting,, ,LOVE 213,36,35,17,Downs      
EC133,A,4,TR, 9:30am-10:45am,Principles of Microeconomics,S, ,OLIN 001,35,35,6,"Edwards, W "
EC133,A,4,W, 3:00pm- 3:50pm,Principles of Microeconomics,S, ,KEYE 105,35,35,6,"Edwards, W "
EC133,B,4,TR,11:00am-12:15pm,Principles of Microeconomics,S, ,OLIN 001,35,35,6,"Edwards, W "
EC133,B,4,W, 3:00pm- 3:50pm,Principles of Microeconomics,S, ,KEYE 105,35,35,6,"Edwards, W "
EC133,C,4,TR, 2:30pm- 3:45pm,Principles of Microeconomics,S, ,DIAM 141,34,35,6,Franko     
EC133,C,4,W, 3:00pm- 3:50pm,Principles of Microeconomics,S, ,DIAM 141,34,35,6,Franko     
EC134,A,4,MWF, 1:00pm- 1:50pm,Principles of Macroeconomics,S, ,DIAM 145,31,35,6,"Libby, J   "
EC134,A,4,W, 3:00pm- 3:50pm,Principles of Macroeconomics,S, ,LOVE 213,31,35,6,"Libby, J   "
EC134,B,4,TR,11:00am-12:15pm,Principles of Macroeconomics,S, ,DIAM 122,30,35,6,Jha        
EC134,B,4,W, 3:00pm- 3:50pm,Principles of Macroeconomics,S, ,OLIN 001,30,35,6,Jha        
EC134,C,4,TR, 1:00pm- 2:15pm,Principles of Macroeconomics,S, ,DIAM 122,35,35,6,Jha        
