Course,Section,Cr,Days,Times,Title,DistReq,Diversity,Room,Reg,Max,Exam,Faculty
AA118A,A,2,MW, 4:00pm- 5:15pm,Technique Lab: Contemporary Dance & Movement of the African Diaspora (See TD118A),, ,REMOTE ,0, , ,"Hunter, O   Valentine  "
AA118B,A,1,R, 4:00pm- 5:45pm,Dance Technique Lab: Intermediate Hip-hop (See TD118B),, , ,0, , ,"James, A   "
AA132,A,4,MWF,10:00am-10:50am,"Survey of U.S. History, 1865 to Present (See HI132)",H, , ,0, , ,Weisbrot   
AA256,A,4,MW, 1:00pm- 2:15pm,African-American Art (See AR256),A,U ,REMOTE ,0, , ,Schriber   
AA276,A,4,TR, 9:30am-10:45am,African-American Culture in the United States (See AM276),S,U , ,0, , ,Gilkes     
AA298,A,4,TR, 2:30pm- 3:45pm,Hip Hop History Theory and Practice (See TD298),A,U , ,0, , ,"James, A   "
AA333,A,4,T, 1:00pm- 3:30pm,Contemporary Theory (See AY333),, , ,0, , ,Besteman   
AA342,A,4,T, 7:00pm- 9:30pm,Crisis and Reform: American Society and Politics in the 1960s (See HI342),H, , ,0, , ,Weisbrot   
AA359,A,4,T, 1:00pm- 4:00pm,Sociologies of Slavery and Slave Communities in the United States (See SO359),S,U , ,0, , ,Gilkes     
AA361,A,4,MW, 2:30pm- 3:45pm,"Creolization, Culture, and Society in the Indian Ocean Islands (See FR361)",,I , ,0, , ,Mauguiere  
AA455,A,4,M, 1:00pm- 3:30pm,Seminar: Conflict and Crisis in Africa (See GO455),,I , ,0, , ,Seay       
AM171,A,4,TR,11:00am-12:15pm,Introduction to American Studies,,U ,REMOTE ,24,24,10,Fugikawa   
AM238,A,4,WF, 1:00pm- 2:15pm,Making Modern Science,H,U ,REMOTE ,22,24,0,Saltz      
AM247,A,4,MW, 7:00pm- 8:15pm,History of U.S. Political Violence,,U ,REMOTE ,19,20,0,Arellano   
AM276,A,4,TR, 9:30am-10:45am,African-American Culture in the United States,S,U ,DIAM 142,49,49,4,Gilkes     
AM293,A,4,T, 1:00pm- 3:30pm,Methods in American Studies,, ,REMOTE ,13,16,0,Hickey     
AM493D,A,4,T, 1:00pm- 3:30pm,Senior Seminar: Interrogating Whiteness,, ,REMOTE ,6,12,0,Saltz      
AR112,A,4,TR,11:00am-12:15pm,Introduction to Western Art: Renaissance to Today,A, ,REMOTE ,25,25,0,Harkett    
AR125,A,4,MW,11:00am-12:15pm,"Art and Architecture of the Islamic World, 622-1258",A, ,BIXL 154,22,25,0,Ameri      
AR135,A,4,MW, 2:00pm- 3:50pm,Visual Thinking,A, ,BIXL 283,12,12,0,Mitchell   
AR222,A,4,MW,11:00am-12:50pm,Contemporary Drawing,, ,BIXL 283,12,12,2,Mitchell   
AR227,A,4,MW, 2:30pm- 3:45pm,History of Architecture I: From Pyramids to Cathedrals,A, ,BIXL 178,26,25,0,Ameri      
AR228,A,4,MW, 2:00pm- 3:50pm,Print and Digital Media I,, ,REMOTE ,15,15,0,Lilleston  
AR242,A,4,TR, 2:00pm- 3:50pm,Painting II,, ,BIXL 250,8,12,0,DeNizio    
AR248,A,4,MW, 9:00am-10:50am,Print and Digital Media II: The Digital Matrix,, ,BIXL 302,10,10,0,Lilleston  
AR256,A,4,MW, 1:00pm- 2:15pm,African American Art,A,U ,REMOTE ,24,25,3,Schriber   
AR276,A,4,MWF, 9:00am- 9:50am,Zen and the Arts in Asia (See EA276),A, , ,0, , ,Weitz      
AR282,A,4,TR,11:00am-12:50pm,Photography II,, ,BIXL 278,7,12,0,Green      
AR298,A,4,TR, 1:00pm- 2:15pm,"Art, Money, Labor: The Crisis of Capitalism (See TD298B)",A, , ,0, , ,Shanks     
AR329,A,4,MW,11:00am-12:50pm,Print and Digital Media IV,, ,REMOTE ,4,15,0,Lilleston  
AR341,A,4,TR,11:00am-12:50pm,Painting III,, ,BIXL 250,0,16,0,DeNizio    
AR342,A,4,TR,11:00am-12:50pm,Painting IV,, ,BIXL 250,4,16,0,DeNizio    
AR348,A,4,TR, 1:00pm- 2:15pm,Performing the Museum (See TD247),A, , ,0, , ,Shanks     
AR356,A,4,TR, 1:00pm- 2:15pm,Writing Art Criticism,W2, ,REMOTE ,10,12,0,Harkett    
AR365,A,4,MW,11:00am-12:50pm,Sculpture III: The Nobility of Stone,, ,BIXL 117,4,6,0,Borthwick  
AR366,A,4,MW, 2:00pm- 3:50pm,"Sculpture IV: Measure, Material, and Process",, ,BIXL 117,3,8,0,Borthwick  
AR382,A,4,TR, 2:00pm- 3:50pm,Photography IV,, ,BIXL 278,5,12,0,Green      
AR398,A,4,W, 1:00pm- 3:30pm,"Copies, Fakes, and Forgeries",, ,BIXL 102,9,10,0,Plesch     
AR402,A,2,W, 7:00pm- 9:30pm,Studio Art Capstone,, ,BIXL 278,15,15,0,Green      
AR411,A,4,T, 7:00pm- 9:30pm,Theories and Methods of Art History,, ,BIXL 154,12,12,0,Plesch     
AR429,A,4,MW,11:00am-12:50pm,Print and Digital Media VI,, ,REMOTE ,4,15,0,Lilleston  
AR439,A,4,MW,11:00am-12:50pm,Print and Digital Media VIII,, ,REMOTE ,1,15,0,Lilleston  
AR441,A,4,TR,11:00am-12:50pm,Painting V,, ,BIXL 250,4,16,0,DeNizio    
AR442,A,4,TR,11:00am-12:50pm,Painting VI,, ,BIXL 250,3,16,0,DeNizio    
AR443,A,4,TR,11:00am-12:50pm,Painting VII,, ,BIXL 250,1,16,0,DeNizio    
AR466,A,4,MW, 2:00pm- 3:50pm,Sculpture VI,, ,BIXL 117,6,8,0,Borthwick  
AR481,A,4,TR, 2:00pm- 3:50pm,Photography V,, ,BIXL 278,1,12,0,Green      
AR482,A,4,TR, 2:00pm- 3:50pm,Photography VI,, ,BIXL 278,3,12,0,Green      
AR485,A,4,TR, 2:00pm- 3:50pm,Photography VII,, ,BIXL 278,0,12,0,Green      
AS172,A,3,MWF,11:00am-11:50am,Extraterrestrial Life,N, ,REMOTE ,38,35,2,Kocevski   
AS342,A,4,TR, 2:30pm- 3:45pm,Galaxies and Cosmology,, ,REMOTE ,16,19,6,Kocevski   
AY112,A,4,MWF, 9:00am- 9:50am,Cultural Anthropology,S,I ,DIAM 123,20,22,1,Menair     
AY112,B,4,MWF,10:00am-10:50am,Cultural Anthropology,S,I ,DIAM 145,22,22,0,MillsMaryB 
AY112,C,4,MW,11:00am-12:15pm,Cultural Anthropology,S,I ,DIAM 145,21,22,2,Bhimull    
AY112,D,4,TR, 9:30am-10:45am,Cultural Anthropology,S,I ,DIAM 145,22,22,0,"Tate, W    "
AY112,E,4,TR, 1:00pm- 2:15pm,Cultural Anthropology,S,I ,REMOTE ,18,18,0,Halvorson  
AY221,A,4,MW,11:00am-12:15pm,"Of Beasts, Pets, and Wildlife: What Animals Mean to Humans",, ,DIAM 342,17,18,2,Menair     
AY225,A,4,MW, 2:30pm- 3:45pm,China in Transition,S,I ,LOVE 203,18,18,5,Hriskos    
AY229,A,4,TR, 9:30am-10:45am,Reading Ethnographies of Climate Change,, ,REMOTE ,9,18,4,Besteman   
AY245,A,4,TR, 2:30pm- 3:45pm,Development and Environmental Issues in China (See EA242),S,I , ,0, , ,Zhang      
AY246,A,4,MW, 1:00pm- 2:15pm,Religion and Everyday Life in Muslim Societies,,I ,REMOTE ,12,18,3,Strohl     
AY249,A,4,TR, 2:30pm- 3:45pm,"Courts, Trials, and the Pursuit of Justice",, ,LOVE 203,17,18,0,"Tate, W    "
AY252,A,4,TR,11:00am-12:15pm,"Language, Culture, Discourse",, ,REMOTE ,18,18,0,Halvorson  
AY255,A,4,TR,11:00am-12:15pm,"Global Health: Critical Perspectives on Health, Care, and Policy (See GS255)","S,W2", , ,0, , ,ElShaarawi 
AY276,A,4,TR, 9:30am-10:45am,African-American Culture in the United States (See AM276),S,U , ,0, , ,Gilkes     
AY333,A,4,T, 1:00pm- 3:30pm,Contemporary Theory,, ,REMOTE ,9,10,11,Besteman   
AY352,A,4,R, 7:00pm- 9:30pm,Global Activism: From Socialist Internationalism to Today (See GS352),S, , ,0, , ,Razsa      
AY355,A,4,M, 7:00pm- 9:30pm,Aging and Public Policy in East Asia (See EA355),S,I , ,0, , ,Zhang      
AY363,A,4,R, 1:00pm- 3:30pm,Secrecy and Power,,I ,REMOTE ,9,12,0,Strohl     
AY398,A,4,R, 1:00pm- 3:30pm,Decolonizing Europe (See GS398C),W2, , ,0, , ,Razsa      
AY455,A,4,T, 1:00pm- 3:30pm,Intervention: The Ethics and Politics of Humanitarianism (See GS455),S, , ,0, , ,ElShaarawi 
AY464,A,4,W, 1:00pm- 3:30pm,Anthropology of Food,, ,DIAM 323,8,12,0,MillsMaryB 
BC362,A,4,TR, 8:00am- 9:15am,Medical Biochemistry,, ,KEYE 105,24,32,13,Peck       
BC362 D,A,,F, 8:00am- 8:50am,Disc:Medical Biochemistry,, ,OLIN 019B,12,16, ,Peck       
BC362 D,B,,F, 9:00am- 9:50am,Disc:Medical Biochemistry,, ,OLIN 019B,12,16, ,Peck       
BC368,A,4 to 5,TR, 9:30am-10:45am,Biochemistry of the Cell II,, ,KEYE 105,27,36,4,Millard    
BC368,A,4 to 5,F,12:00n -12:50pm,Biochemistry of the Cell II,, ,MILL 014,27,36,4,Millard    
BC368 L,A,,T,12:30pm- 4:30pm,Lab:Cell Biochemistry II,, ,KEYE 303,10,12, ,Hepburn    
BC368 L,B,,W,12:30pm- 4:30pm,Lab:Cell Biochemistry II,, ,KEYE 303,9,12, ,Millard    
BC368 L,C,,R,12:30pm- 4:30pm,Lab:Cell Biochemistry II,, ,KEYE 303,8,12, ,Peck       
BC378,A,4,MWF,10:00am-10:50am,Molecular Biology,, ,OLIN 019B,16,16,13,van Oers   
BC378 L,A,,W, 1:00pm- 4:00pm,Lab: Molecular Biology,, ,AREY 205,8,8, ,van Oers   
BC378 L,B,,R, 1:00pm- 4:00pm,Lab: Molecular Biology,, ,AREY 205,8,8, ,van Oers   
BI118,A,3,TR,11:00am-12:15pm,Sustainable Agriculture and Food Systems,N, ,KEYE 105,26,25,10,"Marshall,A "
BI118,B,3,TR, 1:00pm- 2:15pm,Sustainable Agriculture and Food Systems,N, ,KEYE 105,24,25,11,"Marshall,A "
BI133,A,4,,TBA,Microorganisms and Society,"N,Lb", ,REMOTE ,29,32,0,Fekete     
BI133 L,A,,T, 1:00pm- 4:00pm,Lab: Microorgn & Society,, ,AREY 307,14,16, ,Childers   
BI133 L,B,,R, 1:00pm- 4:00pm,Lab: Microorgn & Society,, ,AREY 307,15,16, ,Childers   
BI135,A,4,TR, 8:00am- 9:15am,Biochemistry of Food,"N,Lb", ,REMOTE ,42,42,13,Klepach    
BI135 L,A,,W, 1:00pm- 3:50pm,Lab: Biochem of Food,, ,OLIN 314,15,14, ,Klepach    
BI135 L,B,,R, 1:00pm- 3:50pm,Lab: Biochem of Food,, ,OLIN 314,13,14, ,Klepach    
BI135 L,C,,F, 1:00pm- 3:50pm,Lab: Biochem of Food,, ,OLIN 314,14,14, ,Klepach    
BI164,A,4,MWF, 9:00am- 9:50am,Evolution and Diversity,"N,Lb", , ,80,48,1,"Bevier, C  "
BI164,B,4,MWF,11:00am-11:50am,Evolution and Diversity,"N,Lb", , ,78,48,12,Noh        
