#YY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2012 01 03 04 50 262 11.7 14.3  2.73  7.14  5.59 999 1003.2   3.8   7.9  -4.7 99.0 99.00
2012 01 03 05 50 264 11.4 14.0  2.73  6.67  5.77 999 1003.2   3.5   7.9  -5.5 99.0 99.00
2012 01 03 06 50 263 12.0 14.5  2.52  6.67  5.45 999 1003.4   3.2   7.9  -5.6 99.0 99.00
2012 01 03 07 50 268 10.7 12.6  2.53  6.67  5.62 999 1003.6   2.7   7.9  -6.1 99.0 99.00
2012 01 03 08 50 288 12.2 15.0  2.47  7.14  5.62 999 1003.5   2.2   7.9  -6.6 99.0 99.00
2012 01 03 09 50 283 11.7 14.0  2.33  7.14  5.21 999 1003.9   1.4   7.9  -8.1 99.0 99.00
2012 01 03 10 50 280 10.6 13.6  2.37  6.25  5.35 999 1004.9   1.1   7.8  -7.5 99.0 99.00
2012 01 03 11 50 276 10.2 13.4  2.09  6.25  5.20 999 1005.8   0.4   7.8  -8.2 99.0 99.00
2012 01 03 12 50 286 10.4 13.5  2.14  6.25  5.39 999 1006.6  -0.1   7.8  -8.9 99.0 99.00
2012 01 03 13 50 286  8.6 11.2  1.97  6.25  5.28 999 1007.5  -0.6   7.8  -9.8 99.0 99.00
2012 01 03 14 50 329  8.3 10.4  1.74  5.88  5.00 999 1007.1  -1.7   7.8  -6.6 99.0 99.00
2012 01 03 15 50 324  7.7 10.6  1.46  5.56  4.81 999 1007.4  -2.4   7.8  -9.2 99.0 99.00
2012 01 03 16 50 326  8.1 10.9  1.50  5.26  4.82 999 1007.4  -2.8   7.8  -9.6 99.0 99.00
2012 01 03 17 50 318  8.4 11.3  1.41  5.26  4.65 999 1007.3  -2.9   7.8 -10.4 99.0 99.00
2012 01 03 18 50 339  8.9 11.7  1.43  4.76  4.55 999 1007.1  -3.3   7.8 -10.3 99.0 99.00
2012 01 03 19 50 337  7.9 10.7  1.30  4.55  4.49 999 1008.4  -3.8   7.8 -11.7 99.0 99.00
2012 01 03 20 50 339  8.8 11.4  1.25  5.00  4.42 999 1008.3  -3.5   7.8 -11.0 99.0 99.00
2012 01 03 21 50 336  9.1 12.0  1.30  4.76  4.38 999 1009.2  -3.4   7.8 -11.4 99.0 99.00
