Course,Section,Cr,Days,Times,Title,DistReq,Diversity,Room,Reg,Max,Exam,Faculty
AR481,A,4,TR, 2:00pm- 3:50pm,Photography V,, ,BIXL 278,2,12,0,Raasch     
AR482,A,4,TR, 2:00pm- 3:50pm,Photography VI,, ,BIXL 278,3,12,0,Raasch     
AR485,A,4,TR, 2:00pm- 3:50pm,Photography VII,, ,BIXL 278,0,12,0,Raasch     
AS151,A,3 to 4,MWF, 1:00pm- 1:50pm,"Stars, Stellar Systems, and Cosmology","N,OptLb", ,KEYE 105,36,35,9,Kocevski   McGrath     
AS151 L,A,,T, 1:00pm- 3:50pm,Stars and Stellar Systems Laboratory,, ,KEYE 114,16,16, ,Einsig     McGrath     
AS172,A,3,MWF,11:00am-11:50am,Extraterrestrial Life,N, ,MILL 014,36,35,1,Kocevski   
AS342,A,4,TR, 2:30pm- 3:45pm,Galaxies and Cosmology,, ,KEYE 105,18,20,2,Kocevski   
AY112,A,4,MWF, 9:00am- 9:50am,Cultural Anthropology,S,I ,DIAM 145,30,30,8,Strohl     
AY112,B,4,MW, 1:00pm- 2:15pm,Cultural Anthropology,S,I ,DIAM 145,29,30,9,Bhimull    
AY112,C,4,TR, 9:30am-10:45am,Cultural Anthropology,S,I ,DIAM 145,30,30,5,Menair     
AY246,A,4,MW,11:00am-12:15pm,Religion and Everyday Life in Muslim Societies,,I ,DIAM 323,11,18,1,Strohl     
AY252,A,4,MW,11:00am-12:15pm,Language in Culture and Society (See GS252),, , ,0, , ,Halvorson  
AY262,A,4,TR, 9:30am-10:45am,"Music in Life, Music as Culture: Introduction to Ethnomusicology (See MU262)",A,I , ,0, , ,Zelensky   
AY276,A,4,TR, 9:30am-10:45am,African-American Culture in the United States (See AM276),S,U , ,0, , ,Gilkes     
AY298,A,4,TR, 9:30am-10:45am,Pop Culture in Latin America,, ,DIAM 323,18,18,5,"Haynes, E  "
AY298A,A,4,TR,11:00am-12:15pm,Religious Violence (See GS298A),W2, , ,0, , ,Maidhof    
AY298B,A,4,TR, 2:30pm- 3:45pm,The Bourgeoisie (See GS298B),, , ,0, , ,Maidhof    
AY316,A,4,M, 1:00pm- 3:30pm,Religion and Social Change in Contemporary Africa (See GS316),, , ,0, , ,Halvorson  
AY326,A,4,T, 1:00pm- 3:30pm,Comparing Inequalities: Caste and Race,S, ,DIAM 323,6,15,0,Strohl     
AY339,A,4,TR,11:00am-12:15pm,Asian Pacific Modernities,, ,DIAM 323,11,15,0,MillsMaryB 
AY398B,A,4,W, 1:00pm- 3:30pm,Anthropology of Social Media,, ,DIAM 323,13,15,0,"Haynes, E  "
AY421,A,4,W, 7:00pm- 9:30pm,Anthropology of Creativity,, ,DIAM 243,11,15,5,Bhimull    
AY498,A,4,W, 1:00pm- 3:30pm,Theories of the State (See GS498),, , ,0, , ,Maidhof    
BC362,A,4,TR,11:00am-12:15pm,Medical Biochemistry,, ,KEYE 105,19,20,4,Peck       
BC362,A,4,F,12:00n -12:50pm,Medical Biochemistry,, ,OLIN 019B,19,20,4,Peck       
BC368,A,4 to 5,TR, 9:30am-10:45am,Biochemistry of the Cell II,, ,KEYE 102,22,36,5,Millard    
BC368,A,4 to 5,F,12:00n -12:50pm,Biochemistry of the Cell II,, ,LOVE 213,22,36,5,Millard    
BC368 L,A,,T,12:30pm- 4:30pm,Lab:Cell Biochemistry II,, ,KEYE 303,12,12, ,Millard    
BC368 L,B,,W,12:30pm- 4:30pm,Lab:Cell Biochemistry II,, ,KEYE 303,9,12, ,Peck       
BC378,A,4,MWF,10:00am-10:50am,Molecular Biology,, ,KEYE 103,15,16,7,van Oers   
BC378,A,4,W, 1:00pm- 4:00pm,Molecular Biology,, ,AREY 205,15,16,7,van Oers   
BI118,A,3,TR,11:00am-12:15pm,Sustainable Agriculture and Food Systems,N, ,OLIN 001,26,25,4,"Marshall,A "
BI133,A,4,TR,11:00am-12:15pm,Microorganisms and Society,"N,Lb", ,AREY 005,32,32,4,Fekete     
BI133 L,A,,T, 1:00pm- 4:00pm,Lab: Microorgn & Society,, ,AREY 307,16,16, ,Childers   
BI133 L,B,,R, 1:00pm- 4:00pm,Lab: Microorgn & Society,, ,AREY 307,16,16, ,Childers   
BI135,A,4,MWF, 9:00am- 9:50am,Biochemistry of Food,"N,Lb", ,LOVE 215,42,42,8,Klepach    
BI135 L,A,,W, 1:00pm- 3:50pm,Lab: Biochem of Food,, ,AREY 305,14,14, ,Klepach    
BI135 L,B,,R, 1:00pm- 3:50pm,Lab: Biochem of Food,, ,AREY 305,14,14, ,Klepach    
BI135 L,C,,F, 1:00pm- 3:50pm,Lab: Biochem of Food,, ,AREY 305,14,14, ,Klepach    
BI164,A,4,MWF, 9:00am- 9:50am,Evolution and Diversity,"N,Lb", ,OLIN 001,47,48,8,"Stone, J.  "
BI164,B,4,MWF,10:00am-10:50am,Evolution and Diversity,"N,Lb", ,OLIN 001,48,48,7,Noh        
BI164,C,4,MWF,11:00am-11:50am,Evolution and Diversity,"N,Lb", ,OLIN 001,52,48,1,Bevier     
BI164 L,A1,,M, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 201,16,16, ,Staffiere  
BI164 L,A2,,M, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 202,16,16, ,"Graham, S  "
BI164 L,A3,,M, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 207,14,16, ,Bade       
BI164 L,B1,,T, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 201,16,16, ,Staffiere  
BI164 L,B2,,T, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 202,16,16, ,"Graham, S  "
BI164 L,B3,,T, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 207,15,16, ,Bade       
BI164 L,C1,,W, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 201,8,16, ,Staffiere  
BI164 L,C2,,W, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 202,8,16, ,Childers   
BI164 L,C3,,W, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 207,8,16, ,Bade       
BI164 L,D1,,R, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 207,15,16, ,Bade       
BI164 L,D2,,R, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 202,15,16, ,"Graham, S  "
BI244,A,4,TR, 9:30am-10:45am,Marine Communities (See ES244),, , ,0, , ,McClenacha 
BI274,A,4,MWF,12:00n -12:50pm,Neurobiology,, ,LOVE 215,36,36,11,Ahmad      
BI274 L,A,,T, 1:00pm- 4:00pm,Laboratory: Neurobiology,, ,OLIN 332,12,12, ,Chiriboga  
BI274 L,B,,W, 1:00pm- 4:00pm,Laboratory: Neurobiology,, ,OLIN 332,12,12, ,Chiriboga  
BI274 L,C,,R, 1:00pm- 4:00pm,Laboratory: Neurobiology,, ,OLIN 332,13,12, ,Chiriboga  
BI275,A,4,MWF,12:00n -12:50pm,Human Physiology,, ,LOVE 100,40,36,11,Tilden     
BI275 L,A,,M, 1:00pm- 4:00pm,Lab: Human Physiology,, ,OLIN 213,12,12, ,Guay       
BI275 L,B,,T, 1:00pm- 4:00pm,Lab: Human Physiology,, ,OLIN 213,14,12, ,Guay       
BI275 L,C,,W, 1:00pm- 4:00pm,Lab: Human Physiology,, ,OLIN 213,12,12, ,Guay       
BI279,A,4,MWF,11:00am-11:50am,Genetics,, ,LOVE 215,36,36,1,Angelini   
BI279 L,A,,T, 1:00pm- 4:00pm,Laboratory: Genetics,, ,AREY 001,12,12, ,Beachy     
BI279 L,B,,W, 1:00pm- 4:00pm,Laboratory: Genetics,, ,AREY 001,12,12, ,Angelini   
BI279 L,C,,R, 1:00pm- 4:00pm,Laboratory: Genetics,, ,AREY 001,12,12, ,Beachy     
BI298,A,3,MWF, 9:00am- 9:50am,Ecology and Evolution of Infectious Disease,, ,OLIN 019B,24,24,8,"Moore, C   "
BI319,A,4,TR,11:00am-12:15pm,Conservation Biology (See ES319),, , ,0, , ,Nyhus      
BI319,A,4,R, 1:00pm- 4:00pm,Conservation Biology (See ES319),, , ,0, , ,Nyhus      
BI320,A,3,TR,11:00am-12:15pm,Evolutionary Analysis,, ,KEYE 103,13,20,4,"Stone, J.  "
BI338,A,4,MWF, 9:00am- 9:50am,Forest Ecosystems (See ES338),N, , ,0, , ,Becknell   
BI345,A,4,TR, 9:30am-10:45am,Advanced Genomics,, ,OLIN 335,7,12,5,Noh        
BI345,A,4,T, 1:00pm- 4:00pm,Advanced Genomics,, ,OLIN 314,7,12,5,Noh        
BI348,A,3,TR, 9:30am-10:45am,Pathogenic Bacteriology,, ,AREY 005,16,18,5,Fekete     
BI356,A,4,MWF,10:00am-10:50am,Aquatic Ecology (See ES356),, , ,0, , ,Bruesewitz Pearson     
BI356,A,4,W, 1:00pm- 4:00pm,Aquatic Ecology (See ES356),, , ,0, , ,Bruesewitz Pearson     
BI362,A,4,TR,11:00am-12:15pm,Medical Biochemistry (See BC362),, , ,0, , ,Peck       
BI362,A,4,F,12:00n -12:50pm,Medical Biochemistry (See BC362),, , ,0, , ,Peck       
BI368,A,4 to 5,TR, 9:30am-10:45am,Biochemistry of the Cell II (See BC368),, , ,0, , ,Millard    
