Year,Month,Temp
1769,3,2.086
1769,4,8.157
1769,5,13.858
1769,6,20.674
1769,7,22.372
1769,8,21.182
1769,9,-0.485
1769,10,8.261
1769,11,2.268
1769,12,-2.459
1770,1,-4.794
1770,2,-1.657
1770,3,0.316
1770,4,8.689
1770,5,14.3
1770,6,19.44
1770,7,22.242
1770,8,21.352
1770,9,-1.216
1770,10,8.748
1770,11,4.558
1770,12,-1.092
1771,1,-0.039
1771,2,-4.02
1771,3,2.995
1771,4,8.771
1771,5,16.185
1771,6,20.092
1771,7,22.235
1771,8,22.534
1771,9,-0.722
1771,10,12.686
1771,11,6.34
1771,12,-2.468
1772,1,-3.74
1772,2,-1.898
1772,3,-0.539
1772,4,9.009
1772,5,13.882
1772,6,19.348
1772,7,22.871
1772,8,21.212
1772,9,-2.237
1772,10,11.551
1772,11,5.988
1772,12,2.667
1773,1,-2.708
1773,2,-5.051
1773,3,2.469
1773,4,9.441
1773,5,16.254
1773,6,20.253
1773,7,23.244
1773,8,21.524
1773,9,0.64
1773,10,11.592
1773,11,3.929
1773,12,1.778
1774,1,-6.386
1774,2,-1.681
1774,3,3.005
1774,4,12.664
1774,5,NaN
1774,6,19.994
1774,7,23.026
1774,8,21.752
1774,9,-1.04
1774,10,12.923
1774,11,4.453
1774,12,-1.597
1775,1,-1.127
1775,2,1.335
1775,3,4.784
1775,4,8.367
1775,5,17.038
1775,6,18.539
1775,7,22.648
1775,8,21.225
1775,9,-1.173
1775,10,10.712
1775,11,5.265
1775,12,-2.279
1776,1,-4.406
1776,2,-1.976
1776,3,1.712
1776,4,8.185
1776,5,NaN
1776,6,19.891
1776,7,21.538
1776,8,21.448
1776,9,-0.161
1776,10,11
1776,11,5.661
1776,12,-0.002
1777,1,-1.703
1777,2,-1.677
1777,3,2.658
1777,4,7.094
1777,5,13.042
1777,6,18.438
1777,7,19.05
1777,8,21.208
1777,9,-2.022
1777,10,10.008
1777,11,3.394
1777,12,-1.889
1778,1,-2.395
1778,2,NaN
1778,3,NaN
1778,4,NaN
1778,5,13.965
1778,6,18.564
1778,7,NaN
1778,8,NaN
1778,9,NaN
1778,10,11.455
1778,11,2.461
1778,12,-2.739
1779,1,-3.598
1779,2,2.204
1779,3,2.134
1779,4,NaN
1779,5,NaN
1779,6,NaN
1779,7,NaN
1779,8,NaN
1779,9,NaN
1779,10,NaN
1779,11,NaN
1779,12,NaN
1780,1,NaN
1780,2,NaN
1780,3,NaN
1780,4,NaN
1780,5,NaN
1780,6,NaN
1780,7,NaN
1780,8,NaN
1780,9,NaN
1780,10,NaN
1780,11,NaN
1780,12,NaN
1781,1,-0.665
1781,2,-0.648
1781,3,2.728
1781,4,7.723
1781,5,14.866
1781,6,19.033
1781,7,23.319
1781,8,22.202
1781,9,-1.358
1781,10,10.703
1781,11,3.072
1781,12,-1.1
1782,1,-5.17
1782,2,-3.844
1782,3,0.662
1782,4,10.131
1782,5,15.515
1782,6,21.032
1782,7,21.423
1782,8,22.76
1782,9,0.459
1782,10,8.566
1782,11,2.653
1782,12,-1.94
1783,1,-5.014
1783,2,-0.45
1783,3,1.627
1783,4,8.539
1783,5,15.389
1783,6,21.182
1783,7,21.486
1783,8,21.439
1783,9,-3.342
1783,10,8.316
1783,11,1.221
1783,12,-2.21
1784,1,-6.08
1784,2,-6.486
1784,3,0.747
1784,4,6.116
1784,5,14.21
1784,6,19.949
1784,7,22.174
1784,8,22.545
1784,9,-1.206
1784,10,8.674
1784,11,5.033
1784,12,-2.423
1785,1,-5.126
1785,2,-3.453
1785,3,-1.343
1785,4,7.245
1785,5,13.007
1785,6,20.938
1785,7,22.188
1785,8,21.504
1785,9,-2.32
1785,10,9.514
1785,11,3.874
1785,12,-1.681
1786,1,-5.301
1786,2,-2.107
1786,3,4.104
1786,4,8.086
1786,5,14.358
1786,6,20.754
1786,7,22.594
1786,8,20.381
1786,9,-0.64
1786,10,10.737
1786,11,1.636
1786,12,-4.374
1787,1,-3.09
1787,2,-2.79
1787,3,3.155
1787,4,8.756
1787,5,13.978
1787,6,19.443
1787,7,21.092
1787,8,20.789
1787,9,-2.167
1787,10,7.802
1787,11,4.832
1787,12,-1.683
1788,1,-4.862
1788,2,-3.317
1788,3,2.314
1788,4,9.391
1788,5,14.692
1788,6,20.004
1788,7,23.586
1788,8,21.792
1788,9,-0.349
