Year,Month,Temp,
1819,3,23.7,
1819,4,26.14,
1819,5,27.809,
1819,6,27.827,
1819,7,26.03,
1819,8,25.808,
1819,9,25.928,
1819,10,27.071,
1819,11,26.985,
1819,12,24.625,
1820,1,22.249,
1820,2,22.773,
1820,3,24.601,
1820,4,27.778,
1820,5,28.03,
1820,6,27.681,
1820,7,26.069,
1820,8,25.177,
1820,9,26.111,
1820,10,26.426,
1820,11,26.456,
1820,12,24.519,
1821,1,24.767,
1821,2,24.588,
1821,3,26.001,
1821,4,26.102,
1821,5,28.62,
1821,6,27.652,
1821,7,26.136,
1821,8,26.195,
1821,9,25.422,
1821,10,26.717,
1821,11,27.224,
1821,12,25.292,
1822,1,24.45,
1822,2,25.188,
1822,3,27.393,
1822,4,27.102,
1822,5,28.405,
1822,6,27.762,
1822,7,26.726,
1822,8,25.494,
1822,9,25.638,
1822,10,26.085,
1822,11,26.201,
1822,12,24.382,
1823,1,24.089,
1823,2,23.792,
1823,3,25.457,
1823,4,27.294,
1823,5,28.441,
1823,6,28.883,
1823,7,27.093,
1823,8,25.788,
1823,9,25.125,
1823,10,26.667,
1823,11,26.363,
1823,12,25.675,
1824,1,24.674,
1824,2,24.117,
1824,3,25.795,
1824,4,27.484,
1824,5,28.573,
1824,6,28.777,
1824,7,28.243,
1824,8,26.421,
1824,9,27.031,
1824,10,26.27,
1824,11,27.342,
1824,12,27.045,
1825,1,24.677,
1825,2,24.316,
1825,3,25.633,
1825,4,27.835,
1825,5,28.57,
1825,6,28.559,
1825,7,26.994,
1825,8,25.729,
1825,9,26.073,
1825,10,26.777,
1825,11,27.821,
1825,12,25.422,
1826,1,24.431,
1826,2,23.194,
1826,3,25.828,
1826,4,27.794,
1826,5,29.495,
1826,6,27.693,
1826,7,27.27,
1826,8,25.575,
1826,9,26.16,
1826,10,27.247,
1826,11,27.845,
1826,12,26.911,
1827,1,25.095,
1827,2,24.45,
1827,3,26.132,
1827,4,28.053,
1827,5,28.458,
1827,6,28.339,
1827,7,27.382,
1827,8,26.127,
1827,9,25.847,
1827,10,26.823,
1827,11,27.807,
1827,12,25.421,
1828,1,23.608,
1828,2,23.6,
1828,3,25.657,
1828,4,27.116,
1828,5,28.531,
1828,6,29.081,
1828,7,27.257,
1828,8,26.13,
1828,9,25.086,
1828,10,26.956,
1828,11,27.69,
1828,12,25.827,
1829,1,24.141,
1829,2,22.953,
1829,3,25.365,
1829,4,26.972,
1829,5,28.774,
1829,6,28.213,
1829,7,26.782,
1829,8,25.99,
1829,9,25.815,
1829,10,27.356,
1829,11,26.722,
1829,12,25.348,
1830,1,24.314,
1830,2,24.374,
1830,3,25.148,
1830,4,27.374,
1830,5,26.787,
1830,6,28.047,
1830,7,27.411,
1830,8,25.838,
1830,9,25.764,
1830,10,26.828,
1830,11,28.259,
1830,12,26.399,
1831,1,23.862,
1831,2,23.982,
1831,3,25.704,
1831,4,26.638,
1831,5,29.042,
1831,6,28.664,
1831,7,26.354,
1831,8,25.367,
1831,9,25.29,
1831,10,26.383,
1831,11,26.153,
1831,12,24.956,
1832,1,23.334,
1832,2,22.923,
1832,3,25.645,
1832,4,27.606,
1832,5,29.149,
1832,6,NaN,
1832,7,27.295,
1832,8,25.986,
1832,9,25.389,
1832,10,26.523,
1832,11,26.301,
1832,12,NaN,
1833,1,24.198,
1833,2,24.1,
1833,3,24.923,
1833,4,26.968,
1833,5,28.256,
1833,6,28.314,
1833,7,27.093,
1833,8,25.615,
1833,9,25.842,
1833,10,26.43,
1833,11,27.56,
1833,12,25.978,
1834,1,22.826,
1834,2,23.858,
1834,3,25.788,
1834,4,26.721,
1834,5,29.348,
1834,6,27.956,
1834,7,26.528,
1834,8,25.976,
1834,9,26.51,
1834,10,27.042,
1834,11,27.531,
1834,12,26.101,
1835,1,24.436,
1835,2,23.787,
1835,3,24.676,
1835,4,26.199,
1835,5,27.588,
1835,6,27.07,
1835,7,25.959,
1835,8,25.152,
1835,9,25.389,
1835,10,26.295,
1835,11,25.845,
1835,12,24.168,
1836,1,23.689,
1836,2,23.442,
1836,3,24.977,
1836,4,26.329,
1836,5,28.298,
1836,6,28.032,
1836,7,26.535,
1836,8,25.161,
1836,9,26.104,
1836,10,27.342,
1836,11,25.967,
1836,12,25.326,
1837,1,24.284,
1837,2,24.221,
1837,3,24.693,
1837,4,25.796,
1837,5,27.234,
1837,6,27.425,
1837,7,26.54,
1837,8,25.907,
1837,9,26.264,
1837,10,26.465,
1837,11,26.334,
1837,12,25.308,
1838,1,22.126,
1838,2,22.963,
1838,3,24.572,
1838,4,26.75,
1838,5,27.801,
1838,6,27.888,
1838,7,27.513,
1838,8,26.266,
1838,9,26.531,
1838,10,27.038,
1838,11,26.511,
1838,12,25.313,
1839,1,24.444,
1839,2,24.288,
1839,3,24.125,
1839,4,26.911,
1839,5,27.908,
1839,6,27.705,
1839,7,26.887,
1839,8,26.014,
1839,9,25.921,
1839,10,27.191,
1839,11,25.841,
1839,12,24.78,
1840,1,24.378,
1840,2,23.533,
1840,3,24.608,
1840,4,27.038,
1840,5,28.482,
1840,6,28.269,
1840,7,27.157,
1840,8,26.009,
1840,9,25.845,
1840,10,26.618,
1840,11,25.907,
1840,12,25.063,
1841,1,23.594,
1841,2,23.784,
1841,3,24.198,
1841,4,25.975,
1841,5,27.71,
1841,6,27.661,
1841,7,27.408,
1841,8,25.83,
1841,9,26.099,
1841,10,26.375,
1841,11,26.463,
1841,12,25.089,
1842,1,23.795,
1842,2,23.781,
1842,3,25.742,
1842,4,27.142,
1842,5,27.936,
1842,6,27.632,
1842,7,26.793,
1842,8,25.821,
1842,9,25.979,
1842,10,27.021,
1842,11,26.869,
1842,12,25.912,
1843,1,24.104,
1843,2,24.304,
1843,3,24.654,
1843,4,26.552,
1843,5,27.596,
1843,6,27.71,
1843,7,26.491,
1843,8,25.992,
1843,9,26.078,
1843,10,26.716,
1843,11,26.389,
1843,12,24.745,
1844,1,23.549,
1844,2,22.053,
1844,3,24.653,
1844,4,26.602,
1844,5,27.729,
1844,6,27.909,
1844,7,26.431,
1844,8,26.214,
1844,9,25.836,
1844,10,27.237,
1844,11,26.618,
1844,12,25.731,
1845,1,24.308,
1845,2,23.325,
1845,3,25.345,
1845,4,26.993,
1845,5,28.112,
1845,6,27.55,
1845,7,27.124,
1845,8,26.387,
1845,9,26.425,
1845,10,26.703,
1845,11,26.745,
1845,12,24.796,
1846,1,25.47,
1846,2,24.423,
1846,3,26.7,
1846,4,26.66,
1846,5,28.379,
1846,6,28.415,
1846,7,27.708,
1846,8,26.713,
1846,9,26.496,
1846,10,26.612,
1846,11,26.986,
1846,12,25.93,
1847,1,24.564,
1847,2,24.256,
1847,3,24.491,
1847,4,27.089,
1847,5,27.871,
1847,6,27.694,
1847,7,27.047,
1847,8,26.166,
1847,9,26.519,
1847,10,26.988,
1847,11,27.04,
1847,12,24.036,
1848,1,24.068,
1848,2,23.82,
1848,3,24.934,
1848,4,26.951,
1848,5,28.043,
1848,6,27.025,
1848,7,26.932,
1848,8,26.318,
1848,9,26.693,
1848,10,27.042,
1848,11,26.744,
1848,12,25.332,
1849,1,23.387,
1849,2,23.913,
1849,3,25.326,
1849,4,26.364,
1849,5,28.286,
1849,6,26.955,
1849,7,26.467,
