Course,Section,Cr,Days,Times,Title,DistReq,Diversity,Room,Reg,Max,Exam,Faculty
AA231,A,4,TR,11:00am-12:15pm,Caribbean Cultures (See AY231),,I , ,0, , ,"Marshall,Y "
AA276,A,4,TR, 9:30am-10:45am,African-American Culture in the United States (See AM276),S,U , ,0, , ,Gilkes     
AA298,A,4,TR, 2:30pm- 3:45pm,"Pan-Africanism: Histories, Politics, Aesthetics, and Poetics",S,I ,DIAM 344,12,20,14,"Marshall,Y "
AA342,A,4,T, 7:00pm- 9:30pm,Crisis and Reform: American Society and Politics in the 1960s (See HI342),H, , ,0, , ,Weisbrot   
AA359,A,4,T, 1:00pm- 3:30pm,Sociologies of Slavery and Slave Communities in the United States (See SO359),S,U , ,0, , ,Gilkes     
AA398,A,4,W, 7:00pm- 9:30pm,The African Apartheid City: Explorations in Settler Colonialism,S,I ,DIAM 243,19,15,0,"Marshall,Y "
AA413,A,4,MWF,10:00am-10:50am,Author Course: Toni Morrison (See EN413A),L, , ,0, , ,Bryant     
AA455,A,4,M, 1:00pm- 3:30pm,Seminar: Conflict and Crisis in Africa (See GO455),,I , ,0, , ,Seay       
AM171,A,4,TR, 1:00pm- 2:15pm,Introduction to American Studies,,U ,MILL 008,23,24,9,Saltz      
AM217,A,4,MW, 2:30pm- 3:45pm,Religion in the Americas (See RE217),H, , ,0, , ,"O'Neil, S  "
AM222,A,4,W, 7:00pm- 9:30pm,Maine's Musical Soundscapes: Ethnography of Maine (See MU222),A, , ,0, , ,Zelensky   
AM224,A,4,W, 1:00pm- 3:30pm,Practice of Digital Scholarship,, ,DIAM 123,10,15,0,Lisle      
AM232,A,4,TR,11:00am-12:15pm,Queer Identities and Politics (See WG232),,U , ,0, , ,Arellano   
AM234,A,4,MW, 2:30pm- 3:45pm,From Rockabilly Kings to Lady Gaga: A History of Rock 'n' Roll (See MU234),A, , ,0, , ,Zelensky   
AM276,A,4,TR, 9:30am-10:45am,African-American Culture in the United States,S,U ,LOVE 100,76,70,3,Gilkes     
AM375,A,4,TR, 9:30am-10:45am,Representing Difference in American Visual Culture,,U ,MILL 253,12,15,3,Saltz      
AM458,A,4,F, 1:00pm- 3:30pm,American Art in a Global Context (See AR458),,U , ,0, , ,Sheehan    
AM493C,A,4,M, 1:00pm- 3:30pm,"Seminar: Space, Culture, and Neoliberalism",, ,MILL 253,15,15,0,Lisle      
AN154,A,3 to 4,TR, 9:30am-10:45am,Roman History,H, ,LOVE 208,30,30,3,"Roisman, J "
AN342,A,4,T, 1:00pm- 3:30pm,"The Good, the Bad, and the Mad: Early Imperial Rome",H, ,LOVE 244,9,14,0,"Roisman, J "
AR101W,A,4,WF, 1:00pm- 2:15pm,Reading Images,W1, ,BIXL 154,16,16, ,Beranek    
AR111,A,4,TR, 9:30am-10:45am,Introduction to Western Art: Prehistory through the Middle Ages,A, ,BIXL 154,23,25,3,Beranek    
AR135,A,4,MW, 2:00pm- 3:50pm,Visual Thinking,A, ,BIXL 283,18,16,0,Mitchell   
AR174,A,4,MWF, 9:00am- 9:50am,"East Asian Art and Architecture, 1300 to the Present",A, ,BIXL 154,25,25,4,Weitz      
AR222,A,4,MW,11:00am-12:50pm,Drawing II,, ,BIXL 283,14,16,0,Mitchell   
AR228,A,4,MW, 9:00am-10:50am,Print and Digital Media I,, ,BIXL 302,15,15,0,Lilleston  
AR229,A,4,MW, 2:00pm- 3:50pm,Print and Digital Media II,, ,BIXL 302,12,15,0,Lilleston  
AR242,A,4,TR, 2:00pm- 3:50pm,Painting II,, ,BIXL 250,8,16,0,"Engman, B  "
AR265,A,4,MW,11:00am-12:50pm,Sculpture I: Architecture and Site,, ,BIXL 117,16,16,0,Borthwick  
AR276,A,4,MWF,11:00am-11:50am,Zen and the Arts in Asia,A, ,BIXL 154,28,25,5,Weitz      
AR282,A,4,TR,11:00am-12:50pm,Photography II,, ,BIXL 278,10,12,0,Green      
AR298,A,4,TR, 2:30pm- 3:45pm,"Women, Art, and Agency, 1200-1700",A, ,BIXL 154,13,25,0,Beranek    
AR341,A,4,TR,11:00am-12:50pm,Painting III,, ,BIXL 250,0,16,0,"Engman, B  "
AR342,A,4,TR,11:00am-12:50pm,Painting IV,, ,BIXL 250,5,16,0,"Engman, B  "
AR356,A,4,TR,11:00am-12:15pm,Writing Art Criticism,W2, ,BIXL 142,8,12,0,Harkett    
AR365,A,4,MW, 2:00pm- 3:50pm,Sculpture III: The Nobility of Stone,, ,BIXL 117,8,16,0,Borthwick  
AR375,A,4,TR, 9:30am-10:45am,Representing Difference in American Visual Culture (See AM375),,U , ,0, , ,Saltz      
AR381,A,4,TR, 2:00pm- 3:50pm,Photography III: Color and Digital Photography,, ,BIXL 278,2,12,0,Green      
AR382,A,4,TR, 2:00pm- 3:50pm,Photography IV,, ,BIXL 278,4,12,0,Green      
AR402,A,2,M, 7:00pm- 9:30pm,Studio Art Capstone,, ,BIXL 270,12,15,0,Borthwick  
AR411,A,4,R, 1:00pm- 3:30pm,Theories and Methods of Art History,, ,BIXL 102,12,12,0,Harkett    
AR441,A,4,TR,11:00am-12:50pm,Painting V,, ,BIXL 250,0,16,0,"Engman, B  "
AR442,A,4,TR,11:00am-12:50pm,Painting VI,, ,BIXL 250,1,16,0,"Engman, B  "
AR443,A,4,TR,11:00am-12:50pm,Painting VII,, ,BIXL 250,0,16,0,"Engman, B  "
AR444,A,4,TR,11:00am-12:50pm,Painting VIII,, ,BIXL 250,0,16,0,"Engman, B  "
AR458,A,4,F, 1:00pm- 3:30pm,American Art in a Global Context,,U ,BIXL 142,7,10,0,Sheehan    
AR481,A,4,TR, 2:00pm- 3:50pm,Photography V,, ,BIXL 278,2,12,0,Green      
AR482,A,4,TR, 2:00pm- 3:50pm,Photography VI,, ,BIXL 278,1,12,0,Green      
AR485,A,4,TR, 2:00pm- 3:50pm,Photography VII,, ,BIXL 278,0,12,0,Green      
AS151,A,3 to 4,MWF, 1:00pm- 1:50pm,"Stars, Stellar Systems, and Cosmology","N,OptLb", ,KEYE 105,35,35,6,McGrath    
AS151 L,A,,T, 1:00pm- 3:50pm,Stars and Stellar Systems Laboratory,, ,KEYE 114,16,16, ,McGrath    
AS172,A,3,MWF,11:00am-11:50am,Extraterrestrial Life,N, ,LOVE 100,39,35,8,Kocevski   
AS172,B,3,MWF, 1:00pm- 1:50pm,Extraterrestrial Life,N, ,LOVE 100,37,35,8,Kocevski   
AS342,A,4,TR, 2:30pm- 3:45pm,Galaxies and Cosmology,, ,KEYE 105,23,24,14,Kocevski   
AY112,A,4,MWF, 9:00am- 9:50am,Cultural Anthropology,S,I ,DIAM 145,30,30,4,Strohl     
AY112,B,4,MWF,10:00am-10:50am,Cultural Anthropology,S,I ,DIAM 145,30,30,1,"Tate, W    "
AY112,C,4,TR,11:00am-12:15pm,Cultural Anthropology,S,I ,DIAM 145,32,30,7,ElShaarawi 
AY112,D,4,TR, 2:30pm- 3:45pm,Cultural Anthropology,S,I ,DIAM 145,28,30,14,Razsa      
AY222,A,4,W, 7:00pm- 9:30pm,Maine's Musical Soundscapes: Ethnography of Maine (See MU222),A, , ,0, , ,Zelensky   
AY231,A,4,TR,11:00am-12:15pm,Caribbean Cultures,,I ,DIAM 323,18,20,7,"Marshall,Y "
AY246,A,4,MW,11:00am-12:15pm,Religion and Everyday Life in Muslim Societies,,I ,DIAM 323,21,20,5,Strohl     
AY252,A,4,TR, 9:30am-10:45am,Language in Culture and Society,, ,DIAM 323,16,18,0,Halvorson  
AY261,A,4,MW, 1:00pm- 2:15pm,Japanese Language and Culture (See EA261),S, , ,0, , ,Abe        
AY262,A,4,TR, 9:30am-10:45am,"Music in Life, Music as Culture: Introduction to Ethnomusicology (See MU262)",A,I , ,0, , ,Zelensky   
AY276,A,4,TR, 9:30am-10:45am,African-American Culture in the United States (See AM276),S,U , ,0, , ,Gilkes     
AY298,A,2,R,11:00am-12:15pm,Visual Culture Lab: Making Migration Visible,, ,DIAM 243,3,10,0,Besteman   
AY298B,A,4,TR, 2:30pm- 3:45pm,"Pan-Africanism: Histories, Politics, Aesthetics, and Poetics (See AA298)",S,I , ,0, , ,"Marshall,Y "
AY316,A,4,M, 1:00pm- 3:30pm,Religion and Social Change in Contemporary Africa,, ,DIAM 323,10,15,0,Halvorson  
AY355,A,4,M, 7:00pm- 9:30pm,Aging and Public Policy in East Asia (See EA355),S,I , ,0, , ,Zhang      
AY361,A,4,W, 1:00pm- 3:30pm,"Militaries, Militarization, and War",S, ,DIAM 323,15,15,0,"Tate, W    "
AY363,A,4,T, 1:00pm- 3:30pm,Secrecy and Power,,I ,DIAM 323,16,15,0,Strohl     
AY398,A,4,W, 7:00pm- 9:30pm,The African Apartheid City: Explorations in Settler Colonialism (See AA398),S,I , ,0, , ,"Marshall,Y "
AY455,A,4,W, 1:00pm- 3:30pm,Intervention: The Ethics and Politics of Humanitarianism (See GS455),S, , ,0, , ,ElShaarawi 
AY466,A,4,R, 1:00pm- 3:30pm,Technocultures,, ,DIAM 323,14,14,0,Besteman   
AY498,A,4,T, 7:00pm- 9:30pm,"Insurgent Mobilities Lab II: Migrants, Activists, the Balkan Route (See GS498)",,I , ,0, , ,Razsa      
BC368,A,4 to 5,TR, 9:30am-10:45am,Biochemistry of the Cell II,, ,KEYE 103,15,36,3,Rice       
BC368,A,4 to 5,F,12:00n -12:50pm,Biochemistry of the Cell II,, ,LOVE 215,15,36,3,Rice       
BC368 L,A,,T,12:30pm- 4:30pm,Lab: Cell Biochemistry,, ,KEYE 303,7,12, ,Moloney    
BC368 L,B,,W,12:30pm- 4:30pm,Lab: Cell Biochemistry,, ,KEYE 303,8,12, ,Moloney    
BC378,A,4,MWF,10:00am-10:50am,Molecular Biology,, ,MUDD 405,16,16,1,van Oers   
BC378,A,4,W, 1:00pm- 4:00pm,Molecular Biology,, ,AREY 205,16,16,1,van Oers   
BI133,A,4,TR,11:00am-12:15pm,Microorganisms and Society,"N,Lb", ,AREY 005,32,32,7,Fekete     
BI133 L,A,,T, 1:00pm- 4:00pm,Lab: Microorgn & Society,, ,AREY 307,16,16, ,Childers   
BI133 L,B,,R, 1:00pm- 4:00pm,Lab: Microorgn & Society,, ,AREY 307,16,16, ,Childers   
BI164,A,4,MWF, 9:00am- 9:50am,Evolution and Diversity,"N,Lb", ,OLIN 001,87,48,4,Bevier     
BI164,B,4,MWF,11:00am-11:50am,Evolution and Diversity,"N,Lb", ,OLIN 001,89,48,5,Wilson     
BI164 L,A1,,M, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 201,16,16, ,Staffiere  
BI164 L,A2,,M, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 202,16,16, ,Bade       
BI164 L,B1,,T, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 201,17,16, ,Staffiere  
BI164 L,B2,,T, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 207,16,16, ,Chiriboga  
BI164 L,B3,,T, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 202,17,16, ,Bade       
BI164 L,C1,,W, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 207,15,16, ,Childers   
BI164 L,C2,,W, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 202,16,16, ,Bade       
BI164 L,C3,,W, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 201,15,16, ,Staffiere  
BI164 L,D1,,R, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 201,16,16, ,Guay       
BI164 L,D2,,R, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 202,16,16, ,Bade       
BI164 L,D3,,R, 1:00pm- 4:00pm,Lab: Evolutn & Diversity,, ,AREY 207,16,16, ,Noh        
BI225,A,3,MWF, 9:00am- 9:50am,Immunology,, ,LOVE 213,32,32,4,Hannum     
BI244,A,4,TR, 9:30am-10:45am,Marine Communities (See ES244),N, , ,0, , ,McClenacha 
BI274,A,3 to 4,MWF,12:00n -12:50pm,Neurobiology,, ,DIAM 153,32,28,17,Ahmad      
BI274 L,A,,W, 1:00pm- 4:00pm,Laboratory: Neurobiology,, ,OLIN 332,14,14, ,Chiriboga  
BI274 L,B,,R, 1:00pm- 4:00pm,Laboratory: Neurobiology,, ,OLIN 332,15,14, ,Chiriboga  
BI275,A,4,MWF, 9:00am- 9:50am,Human Physiology,, ,KEYE 103,20,24,4,Klepach    
BI275 L,A,,M, 1:00pm- 4:00pm,Lab: Human Physiology,, ,OLIN 213,10,12, ,Guay       
BI275 L,B,,T, 1:00pm- 4:00pm,Lab: Human Physiology,, ,OLIN 213,10,12, ,Guay       
BI279,A,4,MWF,11:00am-11:50am,Genetics,, ,LOVE 205,36,36,5,Angelini   
BI279 L,A,,T, 1:00pm- 4:00pm,Laboratory: Genetics,, ,AREY 001,12,12, ,Beachy     
BI279 L,B,,W, 1:00pm- 4:00pm,Laboratory: Genetics,, ,AREY 001,12,12, ,Angelini   
BI279 L,C,,R, 1:00pm- 4:00pm,Laboratory: Genetics,, ,AREY 001,12,12, ,Beachy     
BI320,A,3,TR,11:00am-12:15pm,Evolutionary Analysis,, ,OLIN 335,7,16,7,Noh        
BI338,A,4,MWF, 9:00am- 9:50am,Forest Ecosystems (See ES338),"N,Lb", , ,0, , ,Becknell   
BI338,A,4,M, 1:00pm- 4:00pm,Forest Ecosystems (See ES338),"N,Lb", , ,0, , ,Becknell   
BI348,A,3,TR, 9:30am-10:45am,Pathogenic Bacteriology,, ,AREY 005,13,18,3,Fekete     
BI356,A,4,MWF,11:00am-11:50am,Aquatic Ecology (See ES356),, , ,0, , ,Bruesewitz 
BI368,A,4 to 5,TR, 9:30am- 1:45am,Biochemistry of the Cell II (See BC368),, , ,0, , ,Rice       
BI368,A,4 to 5,F,12:00n -12:50pm,Biochemistry of the Cell II (See BC368),, , ,0, , ,Rice       
BI373,A,3,MWF,11:00am-11:50am,Animal Behavior,, ,MUDD 405,14,32,5,Bevier     
BI374,A,3 to 4,TR, 9:30am-10:45am,Advanced Neurobiology,, ,DAVI 201,21,16,3,Martin     
BI374 L,A,,M, 1:00pm- 4:00pm,Optional Lab: Advanced Neurobiology,, ,OLIN 332,10,16, ,Martin     
BI376,A,3,TR,11:00am-12:15pm,"Development, Genes, and Evolution",, ,MILL 205,7,15,0,Angelini   
BI378,A,4,MWF,10:00am-10:50am,Molecular Biology (See BC378),, , ,0, , ,van Oers   
BI378,A,4,W, 1:00pm- 4:00pm,Molecular Biology (See BC378),, , ,0, , ,van Oers   
BI382,A,4,TR, 9:30am-10:45am,Ecological Modeling,, ,MILL 205,12,12,0,"Moore, C   "
BI382,A,4,M, 1:00pm- 4:00pm,Ecological Modeling,, ,OLIN 314,12,12,0,"Moore, C   "
BI402,A,1,F, 1:00pm- 1:50pm,Biology Seminar (Applied Microbiology),, ,LOVE 318,11,12, ,Fekete     
BI402,B,1,F, 1:00pm- 1:50pm,Biology Seminar (Molecular Biology of Viruses),, ,LOVE 319,10,12, ,Peck       
BI402,C,1,F, 1:00pm- 1:50pm,Biology Seminar (Island Biogeography),, ,OLIN 335,10,12, ,Wilson     
BI451,A,4,MWF,11:00am-11:50am,Applied and Environmental Microbiology,, ,OLIN 335,7,12,5,Peck       
BI451,A,4,R, 1:00pm- 5:00pm,Applied and Environmental Microbiology,, ,AREY 305,7,12,5,Peck       
CH142,A,4,MWF, 9:00am- 9:50am,General Chemistry II,"N,Lb", ,KEYE 105,40,54,8,Conry      
CH142,B,4,MWF,10:00am-10:50am,General Chemistry II,"N,Lb", ,KEYE 105,55,54,8,Conry      
CH142 L,A,,M, 1:00pm- 3:50pm,Laboratory: General Chem,, ,KEYE 405,19,18, ,"Miller, L  "
CH142 L,B,,T, 1:00pm- 3:50pm,Laboratory: General Chem,, ,KEYE 405,20,18, ,"Miller, L  "
CH142 L,C,,W, 1:00pm- 3:50pm,Laboratory: General Chem,, ,KEYE 405,20,18, ,Thamattoor 
CH142 L,D,,R, 1:00pm- 3:50pm,Laboratory: General Chem,, ,KEYE 405,20,18, ,"Miller, L  "
CH142 L,E,,F, 1:00pm- 3:50pm,Laboratory: General Chem,, ,KEYE 405,16,18, ,"Miller, L  "
CH144,A,1,F, 1:00pm- 3:00pm,Turbo Chemistry,, ,KEYE 103,10,12, ,McKinney   
CH147,A,4,MWF, 9:00am- 9:50am,Comprehensive General Chemistry,"N,Lb", ,AREY 005,30,32,4,Rice       
CH147 L,A,,W, 1:00pm- 4:00pm,Lab: Comprehnsv Gen Chem,, ,KEYE 409,15,16, ,Hepburn    
CH147 L,B,,R, 1:00pm- 4:00pm,Lab: Comprehnsv Gen Chem,, ,KEYE 409,15,16, ,Hepburn    
CH217,A,4,TR,11:00am-12:15pm,Environmental Chemistry,, ,KEYE 102,19,24,7,McKinney   
CH242,A,4,MWF, 9:00am- 9:50am,Organic Chemistry II,, ,MILL 014,22,40,8,Katz       
CH242,B,4,MWF,10:00am-10:50am,Organic Chemistry II,, ,MILL 014,35,40,8,Katz       
CH242 L,A,,M, 1:00pm- 4:45pm,Lab: Organic Chem II,, ,KEYE 305,14,16, ,Katz       
CH242 L,B,,T, 1:00pm- 4:45pm,Lab: Organic Chem II,, ,KEYE 305,16,16, ,Klinkerch  
