Course,Section,Cr,Days,Times,Title,DistReq,Diversity,Room,Reg,Max,Exam,Faculty
AA258,A,4,TR,11:00am-12:15pm,"Anthropology, History, Memory (See AY258)",, , ,0, , ,Bhimull    
AA276,A,4,TR, 9:30am-10:45am,African-American Culture in the United States (See AM276),S,U , ,0, , ,Gilkes     
AM171,A,4,MW, 2:30pm- 3:45pm,Introduction to American Studies,, ,LOVE 303,25,30,3,Saltz      
AM228,A,4,TR, 1:00pm- 2:15pm,Nature and the Built Environment,H, ,LOVE 207,19,20,0,Lisle      
AM232,A,4,TR,11:00am-12:15pm,Queer Identities and Politics (See WG232),,U , ,0, , ,Arellano   
AM253,A,4,TR, 9:30am-10:45am,Mormons (See RE253),H,U , ,0, , ,"Campbell,D "
AM276,A,4,TR, 9:30am-10:45am,African-American Culture in the United States,S,U ,LOVE 100,41,60,9,Gilkes     
AM285,A,4,MW,11:00am-12:15pm,History of Photography (See AR285),A, , ,0, , ,Saltz      
AM313A,A,4,TR,11:00am-12:15pm,One Nation Under a Groove: Culture and Politics of the 1970s,, ,MILL 253,16,16,0,McFadden   
AM331,A,4,TR, 9:30am-10:45am,The Stadium and the City,H, ,MILL 253,10,20,0,Lisle      
AM454,A,4,W, 1:00pm- 3:30pm,American Art and Science (See AR454),, , ,0, , ,Sheehan    
AM493B,A,4,W, 1:00pm- 3:30pm,Senior Seminar: Neoliberal America,,U ,MILL 253,10,15,0,McFadden   
AN154,A,3 to 4,TR, 9:30am-10:45am,Roman History,H, ,LOVE 213,27,30,9,Welser     
AN398,A,4,TR, 1:00pm- 2:15pm,Athenian Democracy as Reality and Idea (See CL398),H, , ,0, , ,Welser     
AR101,A,4,TR, 1:00pm- 2:15pm,Reading Images,A, ,BIXL 150,20,20,0,"Alvarez, M "
AR101W,A,4,TR, 1:00pm- 2:15pm,Reading Images,"A,W1", ,BIXL 154,16,16, ,Sheehan    
AR131,A,4,MW,11:00am-12:50pm,Introduction to Studio Art,A, ,BIXL 283,16,16,0,Bliss      
AR131,B,4,MW, 1:00pm- 2:50pm,Introduction to Studio Art,A, ,BIXL 283,17,16,0,Reed       
AR202,A,4,TR,11:00am-12:15pm,Survey of Western Art: Renaissance to Today,"A,W2", ,BIXL 154,15,18,0,Plesch     
AR226,A,4,MW, 2:30pm- 3:45pm,"Islamic Art and Architecture, 1258-1914",A, ,BIXL 154,21,25,3,Ameri      
AR228,A,4,TR, 1:00pm- 2:15pm,Nature and the Built Environment (See AM228),H, , ,0, , ,Lisle      
AR234,A,4,TR,12:25pm- 2:15pm,Relief Printmaking,, ,BIXL 302,9,16,0,Reed       
AR235,A,4,TR,10:00am-11:50am,Intaglio Printmaking,, ,BIXL 302,10,16,9,Reed       
AR242,A,4,TR, 2:00pm- 3:50pm,Painting II,, ,BIXL 250,9,16,0,"Engman, B  "
AR255,A,4,MWF,10:00am-10:50am,Contemporary Art,A, ,BIXL 154,22,25,11,"Alvarez, M "
AR266,A,4,MW,11:00am-12:50pm,Sculpture II,, ,BIXL 117,7,16,0,Borthwick  
AR274,A,4,TR, 2:30pm- 3:45pm,"Survey of East Asian Art, 1300 to the Present",A, ,BIXL 150,8,25,8,Walt       
AR281,A,4,TR,10:00am-11:50am,Photography I,, ,BIXL 278,12,12,0,Green      
AR285,A,4,MW,11:00am-12:15pm,History of Photography,A, ,BIXL 154,26,25,7,Saltz      
AR333,A,3 to 4,TR, 2:30pm- 3:45pm,Mannerism and Baroque Art in Southern Europe,, ,BIXL 154,11,25,0,Plesch     
AR336,A,4,MW, 1:00pm- 2:15pm,Women in Art since 1960,, ,BIXL 154,11,25,12,"Alvarez, M "
AR341,A,4,TR,11:00am-12:50pm,Painting III,, ,BIXL 250,0,16,0,"Engman, B  "
AR342,A,4,TR,11:00am-12:50pm,Painting IV,, ,BIXL 250,3,16,0,"Engman, B  "
AR366,A,4,MW, 2:00pm- 3:50pm,Sculpture IV,, ,BIXL 117,4,16,0,Borthwick  
AR381,A,4,TR, 2:00pm- 3:50pm,Photography III: Color and Digital Photography,, ,BIXL 278,4,12,0,Green      
AR382,A,4,TR, 2:00pm- 3:50pm,Photography IV,, ,BIXL 278,3,12,0,Green      
AR398,A,4,TR, 9:30am-10:45am,Buddhist Visual Worlds,, ,BIXL 154,6,25,9,Walt       
AR402,A,1,W, 7:00pm- 8:30pm,Senior Studio Art Capstone,, , ,13,12, ,"Borthwick  Engman, B  Green      Reed        "
AR441,A,4,TR,11:00am-12:50pm,Painting V,, ,BIXL 250,4,16,0,"Engman, B  "
AR442,A,4,TR,11:00am-12:50pm,Painting VI,, ,BIXL 250,3,16,0,"Engman, B  "
AR443,A,4,TR,11:00am-12:50pm,Painting VII,, ,BIXL 250,0,16,0,"Engman, B  "
AR444,A,4,TR,11:00am-12:50pm,Painting VIII,, ,BIXL 250,0,16,0,"Engman, B  "
AR454,A,4,W, 1:00pm- 3:30pm,American Art and Science: Picturing Nature,, ,BIXL 102,11,12,0,Sheehan    
AR466,A,4,MW, 2:00pm- 3:50pm,Sculpture VI,, ,BIXL 117,2,16,0,Borthwick  
AR473,A,4,M, 7:00pm- 9:30pm,Visual Culture of Tattooing,, ,BIXL 102,12,12,0,Plesch     
AR481,A,4,TR, 2:00pm- 3:50pm,Photography V,, ,BIXL 278,2,12,0,Green      
AR482,A,4,TR, 2:00pm- 3:50pm,Photography VI,, ,BIXL 278,1,12,0,Green      
AR485,A,4,TR, 2:00pm- 3:50pm,Photography VII,, ,BIXL 278,0,12,0,Green      
AR498,A,4,MW,11:00am-12:15pm,Ancient Art in Miniature: Theory and Practice in Seal Studies,A, ,BIXL 102,7,12,0,Ameri      
AR516S,A,1 to 4,,TBA,Hist de Arte Espanol,, , ,1, , ,Instructor 
AR547S,A,3 to 4,,TBA,Hist del Cine Espanol,, , ,3, , ,Instructor 
AS151,A,3,MWF,11:00am-11:50am,"Stars, Stellar Systems, and Cosmology",N, ,MILL 014,34,35,7,Bayliss    
AS172,A,3,MWF,11:00am-11:50am,Extraterrestrial Life,N, ,LOVE 100,34,35,2,Kocevski   
AS172,B,3,MWF, 1:00pm- 1:50pm,Extraterrestrial Life,N, ,LOVE 100,34,35,2,Kocevski   
AS342,A,4,TR, 2:30pm- 3:45pm,Galaxies and Cosmology,, ,KEYE 105,11,20,8,Kocevski   
AY112,A,4,MWF, 9:00am- 9:50am,Cultural Anthropology,S,I ,DIAM 141,28,30,13,"Tate, W    "
AY112,B,4,MWF,10:00am-10:50am,Cultural Anthropology,S,I ,DIAM 141,30,30,11,MillsMaryB 
AY112,C,4,TR,11:00am-12:15pm,Cultural Anthropology,S,I ,LOVE 213,29,30,6,Menair     
AY211,A,4,MW,11:00am-12:15pm,Human Rights and Social Justice in Global Perspective (See GS211),, , ,0, , ,Razsa      
AY224,A,4,TR, 1:00pm- 2:15pm,Border Crossers and New Neighbors: Immigrants in Maine,S,U ,DIAM 323,13,14,0,Besteman   
AY255,A,4,TR, 1:00pm- 2:15pm,"Global Health: Critical Perspectives on Health, Care, and Policy (See GS255)",S, , ,0, , ,ElShaarawi 
AY258,A,4,TR,11:00am-12:15pm,"Anthropology, History, Memory",, ,DIAM 323,16,20,6,Bhimull    
AY262,A,4,TR, 2:30pm- 3:45pm,"Music in Life, Music as Culture: Introduction to Ethnomusicology (See MU262)",A,I , ,0, , ,Gubner     
AY276,A,4,TR, 9:30am-10:45am,African-American Culture in the United States (See AM276),S,U , ,0, , ,Gilkes     
AY278,A,4,MW, 1:00pm- 2:15pm,Language and Gender (See EA278),S,I , ,0, , ,Abe        
AY298A,A,4,TR, 9:30am-10:45am,"Goods, Gifts, and Globalizing Consumers",S, ,DIAM 123,19,20,0,Halvorson  
